1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC00000013110141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Oct 06 17:28:01 CDT 2012
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Oct 06 17:28:01 CDT 2012
Total Mission Samples:  8192
Total Device Samples:  64560
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/6/12 5:28:01 PM,C,30.097
10/6/12 5:58:01 PM,C,24.6
10/6/12 6:28:01 PM,C,22.599
10/6/12 6:58:01 PM,C,20.097
10/6/12 7:28:01 PM,C,17.593
10/6/12 7:58:01 PM,C,15.589
10/6/12 8:28:01 PM,C,14.586
10/6/12 8:58:01 PM,C,13.584
10/6/12 9:28:01 PM,C,12.581
10/6/12 9:58:01 PM,C,11.578
10/6/12 10:28:01 PM,C,11.076
10/6/12 10:58:01 PM,C,10.574
10/6/12 11:28:01 PM,C,10.073
10/6/12 11:58:01 PM,C,10.073
10/7/12 12:28:01 AM,C,9.571
10/7/12 12:58:01 AM,C,9.069
10/7/12 1:28:01 AM,C,7.061
10/7/12 1:58:01 AM,C,5.554
10/7/12 2:28:01 AM,C,4.549
10/7/12 2:58:01 AM,C,4.549
10/7/12 3:28:01 AM,C,4.047
10/7/12 3:58:01 AM,C,3.544
10/7/12 4:28:01 AM,C,3.544
10/7/12 4:58:01 AM,C,3.544
10/7/12 5:28:01 AM,C,4.047
10/7/12 5:58:01 AM,C,4.549
10/7/12 6:28:01 AM,C,4.549
10/7/12 6:58:01 AM,C,5.051
10/7/12 7:28:01 AM,C,5.051
10/7/12 7:58:01 AM,C,5.051
10/7/12 8:28:01 AM,C,5.051
10/7/12 8:58:01 AM,C,5.554
10/7/12 9:28:01 AM,C,6.558
10/7/12 9:58:01 AM,C,9.571
10/7/12 10:28:01 AM,C,8.065
10/7/12 10:58:01 AM,C,10.073
10/7/12 11:28:01 AM,C,11.578
10/7/12 11:58:01 AM,C,13.082
10/7/12 12:28:01 PM,C,14.586
10/7/12 12:58:01 PM,C,16.591
10/7/12 1:28:01 PM,C,19.095
10/7/12 1:58:01 PM,C,19.596
10/7/12 2:28:01 PM,C,21.598
10/7/12 2:58:01 PM,C,21.598
10/7/12 3:28:01 PM,C,26.1
10/7/12 3:58:01 PM,C,25.6
10/7/12 4:28:01 PM,C,23.599
10/7/12 4:58:01 PM,C,23.599
10/7/12 5:28:01 PM,C,26.599
10/7/12 5:58:01 PM,C,23.599
10/7/12 6:28:01 PM,C,21.098
10/7/12 6:58:01 PM,C,19.596
10/7/12 7:28:01 PM,C,16.09
10/7/12 7:58:01 PM,C,13.082
10/7/12 8:28:01 PM,C,11.076
10/7/12 8:58:01 PM,C,10.073
10/7/12 9:28:01 PM,C,8.567
10/7/12 9:58:01 PM,C,7.563
10/7/12 10:28:01 PM,C,7.061
10/7/12 10:58:01 PM,C,6.558
10/7/12 11:28:01 PM,C,6.056
10/7/12 11:58:01 PM,C,5.554
10/8/12 12:28:01 AM,C,5.051
10/8/12 12:58:01 AM,C,4.549
10/8/12 1:28:01 AM,C,4.047
10/8/12 1:58:01 AM,C,3.544
10/8/12 2:28:01 AM,C,3.544
10/8/12 2:58:01 AM,C,3.041
10/8/12 3:28:01 AM,C,3.041
10/8/12 3:58:01 AM,C,3.041
10/8/12 4:28:01 AM,C,2.539
10/8/12 4:58:01 AM,C,2.539
10/8/12 5:28:01 AM,C,2.539
10/8/12 5:58:01 AM,C,2.036
10/8/12 6:28:01 AM,C,2.036
10/8/12 6:58:01 AM,C,2.036
10/8/12 7:28:01 AM,C,2.036
10/8/12 7:58:01 AM,C,2.036
10/8/12 8:28:01 AM,C,4.047
10/8/12 8:58:01 AM,C,8.065
10/8/12 9:28:01 AM,C,13.082
10/8/12 9:58:01 AM,C,20.597
10/8/12 10:28:01 AM,C,26.1
10/8/12 10:58:01 AM,C,24.099
10/8/12 11:28:01 AM,C,24.6
10/8/12 11:58:01 AM,C,26.1
10/8/12 12:28:01 PM,C,25.6
10/8/12 12:58:01 PM,C,26.1
10/8/12 1:28:01 PM,C,26.1
10/8/12 1:58:01 PM,C,26.1
10/8/12 2:28:01 PM,C,26.599
10/8/12 2:58:01 PM,C,26.599
10/8/12 3:28:01 PM,C,29.597
10/8/12 3:58:01 PM,C,29.098
10/8/12 4:28:01 PM,C,26.599
10/8/12 4:58:01 PM,C,26.1
10/8/12 5:28:01 PM,C,29.597
10/8/12 5:58:01 PM,C,26.1
10/8/12 6:28:01 PM,C,24.6
10/8/12 6:58:01 PM,C,22.099
10/8/12 7:28:01 PM,C,19.095
10/8/12 7:58:01 PM,C,16.09
10/8/12 8:28:01 PM,C,14.586
10/8/12 8:58:01 PM,C,13.584
10/8/12 9:28:01 PM,C,12.079
10/8/12 9:58:01 PM,C,11.578
10/8/12 10:28:01 PM,C,10.574
10/8/12 10:58:01 PM,C,10.073
10/8/12 11:28:01 PM,C,9.069
10/8/12 11:58:01 PM,C,8.567
10/9/12 12:28:01 AM,C,8.065
10/9/12 12:58:01 AM,C,8.065
10/9/12 1:28:01 AM,C,7.563
10/9/12 1:58:01 AM,C,7.061
10/9/12 2:28:01 AM,C,7.061
10/9/12 2:58:01 AM,C,7.061
10/9/12 3:28:01 AM,C,6.558
10/9/12 3:58:01 AM,C,6.558
10/9/12 4:28:01 AM,C,6.558
10/9/12 4:58:01 AM,C,6.558
10/9/12 5:28:01 AM,C,6.558
10/9/12 5:58:01 AM,C,6.056
10/9/12 6:28:01 AM,C,6.056
10/9/12 6:58:01 AM,C,6.056
10/9/12 7:28:01 AM,C,6.056
10/9/12 7:58:01 AM,C,6.056
10/9/12 8:28:01 AM,C,7.061
10/9/12 8:58:01 AM,C,10.073
10/9/12 9:28:01 AM,C,13.584
10/9/12 9:58:01 AM,C,22.099
10/9/12 10:28:01 AM,C,25.6
10/9/12 10:58:01 AM,C,26.1
10/9/12 11:28:01 AM,C,26.1
10/9/12 11:58:01 AM,C,25.1
10/9/12 12:28:01 PM,C,26.599
10/9/12 12:58:01 PM,C,26.599
10/9/12 1:28:01 PM,C,26.599
10/9/12 1:58:01 PM,C,27.099
10/9/12 2:28:01 PM,C,27.099
10/9/12 2:58:01 PM,C,27.599
10/9/12 3:28:01 PM,C,30.097
10/9/12 3:58:01 PM,C,29.597
10/9/12 4:28:01 PM,C,27.099
10/9/12 4:58:01 PM,C,27.099
10/9/12 5:28:01 PM,C,30.596
10/9/12 5:58:01 PM,C,27.099
10/9/12 6:28:01 PM,C,25.6
10/9/12 6:58:01 PM,C,23.599
10/9/12 7:28:01 PM,C,19.095
10/9/12 7:58:01 PM,C,15.589
10/9/12 8:28:01 PM,C,14.085
10/9/12 8:58:01 PM,C,12.581
10/9/12 9:28:01 PM,C,11.076
10/9/12 9:58:01 PM,C,10.073
10/9/12 10:28:01 PM,C,9.069
10/9/12 10:58:01 PM,C,8.567
10/9/12 11:28:01 PM,C,8.065
10/9/12 11:58:01 PM,C,7.563
10/10/12 12:28:01 AM,C,7.061
10/10/12 12:58:01 AM,C,6.558
10/10/12 1:28:01 AM,C,6.056
10/10/12 1:58:01 AM,C,6.056
10/10/12 2:28:01 AM,C,6.056
10/10/12 2:58:01 AM,C,5.554
10/10/12 3:28:01 AM,C,5.554
10/10/12 3:58:01 AM,C,5.051
10/10/12 4:28:01 AM,C,5.051
10/10/12 4:58:01 AM,C,5.051
10/10/12 5:28:01 AM,C,5.051
10/10/12 5:58:01 AM,C,5.051
10/10/12 6:28:01 AM,C,4.549
10/10/12 6:58:01 AM,C,4.549
10/10/12 7:28:01 AM,C,4.549
10/10/12 7:58:01 AM,C,4.549
10/10/12 8:28:01 AM,C,6.558
10/10/12 8:58:01 AM,C,11.578
10/10/12 9:28:01 AM,C,16.09
10/10/12 9:58:01 AM,C,21.098
10/10/12 10:28:01 AM,C,21.598
10/10/12 10:58:01 AM,C,20.597
10/10/12 11:28:01 AM,C,24.099
10/10/12 11:58:01 AM,C,24.099
10/10/12 12:28:01 PM,C,24.6
10/10/12 12:58:01 PM,C,24.6
10/10/12 1:28:01 PM,C,24.099
10/10/12 1:58:01 PM,C,24.6
10/10/12 2:28:01 PM,C,24.099
10/10/12 2:58:01 PM,C,24.6
10/10/12 3:28:01 PM,C,26.599
10/10/12 3:58:01 PM,C,24.6
10/10/12 4:28:01 PM,C,23.099
10/10/12 4:58:01 PM,C,23.599
10/10/12 5:28:01 PM,C,23.599
10/10/12 5:58:01 PM,C,21.598
10/10/12 6:28:01 PM,C,22.099
10/10/12 6:58:01 PM,C,20.597
10/10/12 7:28:01 PM,C,18.594
10/10/12 7:58:01 PM,C,17.593
10/10/12 8:28:01 PM,C,16.09
10/10/12 8:58:01 PM,C,15.589
10/10/12 9:28:01 PM,C,14.586
10/10/12 9:58:01 PM,C,13.584
10/10/12 10:28:01 PM,C,14.085
10/10/12 10:58:01 PM,C,14.085
10/10/12 11:28:01 PM,C,13.584
10/10/12 11:58:01 PM,C,14.586
10/11/12 12:28:01 AM,C,15.088
10/11/12 12:58:01 AM,C,14.586
10/11/12 1:28:01 AM,C,13.584
10/11/12 1:58:01 AM,C,16.09
10/11/12 2:28:01 AM,C,16.591
10/11/12 2:58:01 AM,C,17.092
10/11/12 3:28:01 AM,C,17.092
10/11/12 3:58:01 AM,C,16.591
10/11/12 4:28:01 AM,C,15.589
10/11/12 4:58:01 AM,C,15.589
10/11/12 5:28:01 AM,C,15.589
10/11/12 5:58:01 AM,C,16.591
10/11/12 6:28:01 AM,C,16.591
10/11/12 6:58:01 AM,C,16.591
10/11/12 7:28:01 AM,C,17.092
10/11/12 7:58:01 AM,C,17.092
10/11/12 8:28:01 AM,C,17.092
10/11/12 8:58:01 AM,C,18.094
10/11/12 9:28:01 AM,C,18.594
10/11/12 9:58:01 AM,C,19.095
10/11/12 10:28:01 AM,C,20.097
10/11/12 10:58:01 AM,C,22.599
10/11/12 11:28:01 AM,C,25.1
10/11/12 11:58:01 AM,C,25.6
10/11/12 12:28:01 PM,C,25.1
10/11/12 12:58:01 PM,C,26.1
10/11/12 1:28:01 PM,C,26.1
10/11/12 1:58:01 PM,C,26.1
10/11/12 2:28:01 PM,C,26.599
10/11/12 2:58:01 PM,C,27.099
10/11/12 3:28:01 PM,C,30.596
10/11/12 3:58:01 PM,C,28.099
10/11/12 4:28:01 PM,C,27.099
10/11/12 4:58:01 PM,C,27.599
10/11/12 5:28:01 PM,C,29.098
10/11/12 5:58:01 PM,C,26.599
10/11/12 6:28:01 PM,C,26.1
10/11/12 6:58:01 PM,C,24.099
10/11/12 7:28:01 PM,C,23.099
10/11/12 7:58:01 PM,C,20.597
10/11/12 8:28:01 PM,C,18.594
10/11/12 8:58:01 PM,C,18.594
10/11/12 9:28:01 PM,C,21.098
10/11/12 9:58:01 PM,C,20.097
10/11/12 10:28:01 PM,C,20.097
10/11/12 10:58:01 PM,C,18.594
10/11/12 11:28:01 PM,C,16.591
10/11/12 11:58:01 PM,C,19.095
10/12/12 12:28:01 AM,C,18.594
10/12/12 12:58:01 AM,C,18.594
10/12/12 1:28:01 AM,C,20.097
10/12/12 1:58:01 AM,C,19.596
10/12/12 2:28:01 AM,C,19.095
10/12/12 2:58:01 AM,C,19.095
10/12/12 3:28:01 AM,C,19.095
10/12/12 3:58:01 AM,C,18.594
10/12/12 4:28:01 AM,C,18.094
10/12/12 4:58:01 AM,C,18.094
10/12/12 5:28:01 AM,C,18.594
10/12/12 5:58:01 AM,C,18.594
10/12/12 6:28:01 AM,C,18.094
10/12/12 6:58:01 AM,C,18.094
10/12/12 7:28:01 AM,C,18.594
10/12/12 7:58:01 AM,C,17.593
10/12/12 8:28:01 AM,C,18.594
10/12/12 8:58:01 AM,C,19.596
10/12/12 9:28:01 AM,C,20.097
10/12/12 9:58:01 AM,C,20.597
10/12/12 10:28:01 AM,C,20.597
10/12/12 10:58:01 AM,C,22.599
10/12/12 11:28:01 AM,C,25.6
10/12/12 11:58:01 AM,C,25.6
10/12/12 12:28:01 PM,C,26.599
10/12/12 12:58:01 PM,C,25.6
10/12/12 1:28:01 PM,C,25.1
10/12/12 1:58:01 PM,C,26.1
10/12/12 2:28:01 PM,C,24.6
10/12/12 2:58:01 PM,C,26.599
10/12/12 3:28:01 PM,C,27.099
10/12/12 3:58:01 PM,C,27.599
10/12/12 4:28:01 PM,C,27.599
10/12/12 4:58:01 PM,C,26.1
10/12/12 5:28:01 PM,C,27.599
10/12/12 5:58:01 PM,C,25.1
10/12/12 6:28:01 PM,C,23.099
10/12/12 6:58:01 PM,C,22.599
10/12/12 7:28:01 PM,C,21.598
10/12/12 7:58:01 PM,C,21.598
10/12/12 8:28:01 PM,C,21.098
10/12/12 8:58:01 PM,C,20.097
10/12/12 9:28:01 PM,C,19.596
10/12/12 9:58:01 PM,C,19.095
10/12/12 10:28:01 PM,C,18.594
10/12/12 10:58:01 PM,C,18.594
10/12/12 11:28:01 PM,C,19.095
10/12/12 11:58:01 PM,C,18.094
10/13/12 12:28:01 AM,C,18.094
10/13/12 12:58:01 AM,C,18.094
10/13/12 1:28:01 AM,C,17.092
10/13/12 1:58:01 AM,C,17.092
10/13/12 2:28:01 AM,C,16.591
10/13/12 2:58:01 AM,C,17.092
10/13/12 3:28:01 AM,C,17.593
10/13/12 3:58:01 AM,C,17.593
10/13/12 4:28:01 AM,C,17.092
10/13/12 4:58:01 AM,C,16.591
10/13/12 5:28:01 AM,C,16.591
10/13/12 5:58:01 AM,C,16.591
10/13/12 6:28:01 AM,C,16.591
10/13/12 6:58:01 AM,C,15.589
10/13/12 7:28:01 AM,C,13.584
10/13/12 7:58:01 AM,C,12.079
10/13/12 8:28:01 AM,C,11.578
10/13/12 8:58:01 AM,C,17.092
10/13/12 9:28:01 AM,C,21.098
10/13/12 9:58:01 AM,C,22.599
10/13/12 10:28:01 AM,C,23.599
10/13/12 10:58:01 AM,C,23.099
10/13/12 11:28:01 AM,C,24.099
10/13/12 11:58:01 AM,C,23.599
10/13/12 12:28:01 PM,C,24.099
10/13/12 12:58:01 PM,C,24.6
10/13/12 1:28:01 PM,C,23.599
10/13/12 1:58:01 PM,C,24.6
10/13/12 2:28:01 PM,C,25.1
10/13/12 2:58:01 PM,C,25.1
10/13/12 3:28:01 PM,C,27.099
10/13/12 3:58:01 PM,C,25.6
10/13/12 4:28:01 PM,C,24.6
10/13/12 4:58:01 PM,C,24.6
10/13/12 5:28:01 PM,C,26.1
10/13/12 5:58:01 PM,C,24.099
10/13/12 6:28:01 PM,C,22.599
10/13/12 6:58:01 PM,C,21.098
10/13/12 7:28:01 PM,C,19.596
10/13/12 7:58:01 PM,C,19.596
10/13/12 8:28:01 PM,C,18.094
10/13/12 8:58:01 PM,C,17.092
10/13/12 9:28:01 PM,C,13.082
10/13/12 9:58:01 PM,C,16.09
10/13/12 10:28:01 PM,C,15.088
10/13/12 10:58:01 PM,C,15.088
10/13/12 11:28:01 PM,C,15.589
10/13/12 11:58:01 PM,C,15.088
10/14/12 12:28:01 AM,C,10.574
10/14/12 12:58:01 AM,C,8.065
10/14/12 1:28:01 AM,C,6.056
10/14/12 1:58:01 AM,C,5.051
10/14/12 2:28:01 AM,C,4.047
10/14/12 2:58:01 AM,C,4.047
10/14/12 3:28:01 AM,C,3.544
10/14/12 3:58:01 AM,C,3.041
10/14/12 4:28:01 AM,C,2.539
10/14/12 4:58:01 AM,C,2.036
10/14/12 5:28:01 AM,C,2.036
10/14/12 5:58:01 AM,C,1.533
10/14/12 6:28:01 AM,C,2.036
10/14/12 6:58:01 AM,C,1.533
10/14/12 7:28:01 AM,C,1.533
10/14/12 7:58:01 AM,C,2.036
10/14/12 8:28:01 AM,C,2.539
10/14/12 8:58:01 AM,C,8.567
10/14/12 9:28:01 AM,C,14.085
10/14/12 9:58:01 AM,C,17.092
10/14/12 10:28:01 AM,C,18.094
10/14/12 10:58:01 AM,C,18.594
10/14/12 11:28:01 AM,C,19.596
10/14/12 11:58:01 AM,C,19.095
10/14/12 12:28:01 PM,C,20.097
10/14/12 12:58:01 PM,C,20.097
10/14/12 1:28:01 PM,C,20.597
10/14/12 1:58:01 PM,C,20.597
10/14/12 2:28:01 PM,C,21.598
10/14/12 2:58:01 PM,C,21.098
10/14/12 3:28:01 PM,C,23.599
10/14/12 3:58:01 PM,C,21.598
10/14/12 4:28:01 PM,C,20.597
10/14/12 4:58:01 PM,C,20.597
10/14/12 5:28:01 PM,C,21.598
10/14/12 5:58:01 PM,C,19.596
10/14/12 6:28:01 PM,C,18.094
10/14/12 6:58:01 PM,C,16.591
10/14/12 7:28:01 PM,C,15.088
10/14/12 7:58:01 PM,C,14.085
10/14/12 8:28:01 PM,C,12.079
10/14/12 8:58:01 PM,C,10.073
10/14/12 9:28:01 PM,C,9.069
10/14/12 9:58:01 PM,C,8.567
10/14/12 10:28:01 PM,C,8.065
10/14/12 10:58:01 PM,C,7.563
10/14/12 11:28:01 PM,C,7.563
10/14/12 11:58:01 PM,C,7.563
10/15/12 12:28:01 AM,C,6.558
10/15/12 12:58:01 AM,C,6.558
10/15/12 1:28:01 AM,C,6.056
10/15/12 1:58:01 AM,C,5.554
10/15/12 2:28:01 AM,C,5.554
10/15/12 2:58:01 AM,C,5.554
10/15/12 3:28:01 AM,C,5.051
10/15/12 3:58:01 AM,C,5.554
10/15/12 4:28:01 AM,C,6.056
10/15/12 4:58:01 AM,C,6.558
10/15/12 5:28:01 AM,C,6.558
10/15/12 5:58:01 AM,C,6.056
10/15/12 6:28:01 AM,C,6.056
10/15/12 6:58:01 AM,C,6.056
10/15/12 7:28:01 AM,C,6.056
10/15/12 7:58:01 AM,C,6.558
10/15/12 8:28:01 AM,C,7.061
10/15/12 8:58:01 AM,C,8.567
10/15/12 9:28:01 AM,C,10.073
10/15/12 9:58:01 AM,C,13.082
10/15/12 10:28:01 AM,C,17.593
10/15/12 10:58:01 AM,C,20.597
10/15/12 11:28:01 AM,C,21.598
10/15/12 11:58:01 AM,C,21.598
10/15/12 12:28:01 PM,C,22.599
10/15/12 12:58:01 PM,C,22.599
10/15/12 1:28:01 PM,C,24.099
10/15/12 1:58:01 PM,C,24.099
10/15/12 2:28:01 PM,C,24.6
10/15/12 2:58:01 PM,C,24.099
10/15/12 3:28:01 PM,C,24.6
10/15/12 3:58:01 PM,C,23.599
10/15/12 4:28:01 PM,C,23.099
10/15/12 4:58:01 PM,C,22.099
10/15/12 5:28:01 PM,C,22.099
10/15/12 5:58:01 PM,C,21.098
10/15/12 6:28:01 PM,C,20.097
10/15/12 6:58:01 PM,C,19.095
10/15/12 7:28:01 PM,C,18.094
10/15/12 7:58:01 PM,C,17.092
10/15/12 8:28:01 PM,C,16.591
10/15/12 8:58:01 PM,C,16.591
10/15/12 9:28:01 PM,C,16.591
10/15/12 9:58:01 PM,C,16.591
10/15/12 10:28:01 PM,C,16.591
10/15/12 10:58:01 PM,C,17.092
10/15/12 11:28:01 PM,C,17.092
10/15/12 11:58:01 PM,C,17.092
10/16/12 12:28:01 AM,C,16.591
10/16/12 12:58:01 AM,C,15.589
10/16/12 1:28:01 AM,C,15.589
10/16/12 1:58:01 AM,C,16.09
10/16/12 2:28:01 AM,C,16.09
10/16/12 2:58:01 AM,C,15.088
10/16/12 3:28:01 AM,C,15.589
10/16/12 3:58:01 AM,C,15.589
10/16/12 4:28:01 AM,C,15.589
10/16/12 4:58:01 AM,C,15.589
10/16/12 5:28:01 AM,C,15.088
10/16/12 5:58:01 AM,C,15.088
10/16/12 6:28:01 AM,C,14.586
10/16/12 6:58:01 AM,C,14.586
10/16/12 7:28:01 AM,C,14.085
10/16/12 7:58:01 AM,C,14.085
10/16/12 8:28:01 AM,C,13.584
10/16/12 8:58:01 AM,C,14.085
10/16/12 9:28:01 AM,C,15.088
10/16/12 9:58:01 AM,C,17.593
10/16/12 10:28:01 AM,C,21.098
10/16/12 10:58:01 AM,C,22.599
10/16/12 11:28:01 AM,C,21.598
10/16/12 11:58:01 AM,C,22.099
10/16/12 12:28:01 PM,C,21.598
10/16/12 12:58:01 PM,C,21.598
10/16/12 1:28:01 PM,C,22.599
10/16/12 1:58:01 PM,C,23.599
10/16/12 2:28:01 PM,C,22.599
10/16/12 2:58:01 PM,C,24.099
10/16/12 3:28:01 PM,C,23.599
10/16/12 3:58:01 PM,C,23.599
10/16/12 4:28:01 PM,C,22.599
10/16/12 4:58:01 PM,C,22.099
10/16/12 5:28:01 PM,C,21.098
10/16/12 5:58:01 PM,C,21.098
10/16/12 6:28:01 PM,C,20.597
10/16/12 6:58:01 PM,C,19.095
10/16/12 7:28:01 PM,C,18.094
10/16/12 7:58:01 PM,C,17.593
10/16/12 8:28:01 PM,C,16.591
10/16/12 8:58:01 PM,C,16.09
10/16/12 9:28:01 PM,C,16.591
10/16/12 9:58:01 PM,C,17.092
10/16/12 10:28:01 PM,C,16.591
10/16/12 10:58:01 PM,C,16.09
10/16/12 11:28:01 PM,C,16.09
10/16/12 11:58:01 PM,C,16.591
10/17/12 12:28:01 AM,C,16.591
10/17/12 12:58:01 AM,C,17.092
10/17/12 1:28:01 AM,C,16.591
10/17/12 1:58:01 AM,C,17.593
10/17/12 2:28:01 AM,C,17.593
10/17/12 2:58:01 AM,C,17.593
10/17/12 3:28:01 AM,C,17.593
10/17/12 3:58:01 AM,C,18.094
10/17/12 4:28:01 AM,C,18.094
10/17/12 4:58:01 AM,C,17.593
10/17/12 5:28:01 AM,C,17.593
10/17/12 5:58:01 AM,C,17.092
10/17/12 6:28:01 AM,C,17.092
10/17/12 6:58:01 AM,C,16.591
10/17/12 7:28:01 AM,C,16.591
10/17/12 7:58:01 AM,C,16.591
10/17/12 8:28:01 AM,C,16.591
10/17/12 8:58:01 AM,C,19.596
10/17/12 9:28:01 AM,C,17.593
10/17/12 9:58:01 AM,C,21.598
10/17/12 10:28:01 AM,C,19.596
10/17/12 10:58:01 AM,C,23.599
10/17/12 11:28:01 AM,C,22.599
10/17/12 11:58:01 AM,C,22.599
10/17/12 12:28:01 PM,C,23.599
10/17/12 12:58:01 PM,C,23.099
10/17/12 1:28:01 PM,C,25.1
10/17/12 1:58:01 PM,C,25.6
10/17/12 2:28:01 PM,C,26.1
10/17/12 2:58:01 PM,C,26.599
10/17/12 3:28:01 PM,C,28.598
10/17/12 3:58:01 PM,C,26.599
10/17/12 4:28:01 PM,C,27.099
10/17/12 4:58:01 PM,C,27.099
10/17/12 5:28:01 PM,C,27.099
10/17/12 5:58:01 PM,C,25.1
10/17/12 6:28:01 PM,C,24.099
10/17/12 6:58:01 PM,C,23.099
10/17/12 7:28:01 PM,C,20.597
10/17/12 7:58:01 PM,C,19.095
10/17/12 8:28:01 PM,C,19.596
10/17/12 8:58:01 PM,C,18.594
10/17/12 9:28:01 PM,C,17.593
10/17/12 9:58:01 PM,C,18.594
10/17/12 10:28:01 PM,C,18.594
10/17/12 10:58:01 PM,C,17.593
10/17/12 11:28:01 PM,C,17.593
10/17/12 11:58:01 PM,C,18.594
10/18/12 12:28:01 AM,C,18.094
10/18/12 12:58:01 AM,C,18.594
10/18/12 1:28:01 AM,C,20.097
10/18/12 1:58:01 AM,C,20.097
10/18/12 2:28:01 AM,C,20.097
10/18/12 2:58:01 AM,C,19.596
10/18/12 3:28:01 AM,C,19.095
10/18/12 3:58:01 AM,C,19.095
10/18/12 4:28:01 AM,C,19.095
10/18/12 4:58:01 AM,C,18.594
10/18/12 5:28:01 AM,C,18.094
10/18/12 5:58:01 AM,C,18.094
10/18/12 6:28:01 AM,C,17.092
10/18/12 6:58:01 AM,C,16.09
10/18/12 7:28:01 AM,C,15.589
10/18/12 7:58:01 AM,C,15.589
10/18/12 8:28:01 AM,C,15.088
10/18/12 8:58:01 AM,C,19.596
10/18/12 9:28:01 AM,C,21.598
10/18/12 9:58:01 AM,C,23.099
10/18/12 10:28:01 AM,C,23.599
10/18/12 10:58:01 AM,C,27.099
10/18/12 11:28:01 AM,C,25.6
10/18/12 11:58:01 AM,C,26.1
10/18/12 12:28:01 PM,C,25.6
10/18/12 12:58:01 PM,C,25.6
10/18/12 1:28:01 PM,C,25.1
10/18/12 1:58:01 PM,C,26.599
10/18/12 2:28:01 PM,C,26.599
10/18/12 2:58:01 PM,C,26.599
10/18/12 3:28:01 PM,C,28.598
10/18/12 3:58:01 PM,C,26.599
10/18/12 4:28:01 PM,C,26.599
10/18/12 4:58:01 PM,C,26.599
10/18/12 5:28:01 PM,C,27.099
10/18/12 5:58:01 PM,C,26.1
10/18/12 6:28:01 PM,C,23.099
10/18/12 6:58:01 PM,C,21.598
10/18/12 7:28:01 PM,C,17.092
10/18/12 7:58:01 PM,C,14.085
10/18/12 8:28:01 PM,C,12.079
10/18/12 8:58:01 PM,C,10.574
10/18/12 9:28:01 PM,C,8.567
10/18/12 9:58:01 PM,C,8.065
10/18/12 10:28:01 PM,C,7.061
10/18/12 10:58:01 PM,C,6.558
10/18/12 11:28:01 PM,C,6.056
10/18/12 11:58:01 PM,C,5.554
10/19/12 12:28:01 AM,C,5.051
10/19/12 12:58:01 AM,C,4.549
10/19/12 1:28:01 AM,C,4.047
10/19/12 1:58:01 AM,C,3.544
10/19/12 2:28:01 AM,C,3.041
10/19/12 2:58:01 AM,C,2.539
10/19/12 3:28:01 AM,C,2.036
10/19/12 3:58:01 AM,C,2.036
10/19/12 4:28:01 AM,C,1.533
10/19/12 4:58:01 AM,C,1.533
10/19/12 5:28:01 AM,C,1.533
10/19/12 5:58:01 AM,C,1.533
10/19/12 6:28:01 AM,C,1.533
10/19/12 6:58:01 AM,C,1.533
10/19/12 7:28:01 AM,C,2.036
10/19/12 7:58:01 AM,C,2.036
10/19/12 8:28:01 AM,C,2.539
10/19/12 8:58:01 AM,C,9.069
10/19/12 9:28:01 AM,C,15.589
10/19/12 9:58:01 AM,C,21.598
10/19/12 10:28:01 AM,C,25.6
10/19/12 10:58:01 AM,C,26.599
10/19/12 11:28:01 AM,C,27.599
10/19/12 11:58:01 AM,C,26.599
10/19/12 12:28:01 PM,C,26.599
10/19/12 12:58:01 PM,C,27.099
10/19/12 1:28:01 PM,C,28.099
10/19/12 1:58:01 PM,C,27.099
10/19/12 2:28:01 PM,C,27.599
10/19/12 2:58:01 PM,C,28.598
10/19/12 3:28:01 PM,C,30.596
10/19/12 3:58:01 PM,C,28.099
10/19/12 4:28:01 PM,C,28.099
10/19/12 4:58:01 PM,C,27.599
10/19/12 5:28:01 PM,C,27.099
10/19/12 5:58:01 PM,C,27.599
10/19/12 6:28:01 PM,C,24.099
10/19/12 6:58:01 PM,C,22.599
10/19/12 7:28:01 PM,C,18.094
10/19/12 7:58:01 PM,C,16.09
10/19/12 8:28:01 PM,C,14.586
10/19/12 8:58:01 PM,C,13.584
10/19/12 9:28:01 PM,C,11.076
10/19/12 9:58:01 PM,C,9.571
10/19/12 10:28:01 PM,C,8.567
10/19/12 10:58:01 PM,C,8.065
10/19/12 11:28:01 PM,C,7.061
10/19/12 11:58:01 PM,C,6.558
10/20/12 12:28:01 AM,C,5.554
10/20/12 12:58:01 AM,C,5.554
10/20/12 1:28:01 AM,C,5.554
10/20/12 1:58:01 AM,C,5.051
10/20/12 2:28:01 AM,C,5.051
10/20/12 2:58:01 AM,C,4.549
10/20/12 3:28:01 AM,C,5.051
10/20/12 3:58:01 AM,C,5.051
10/20/12 4:28:01 AM,C,5.051
10/20/12 4:58:01 AM,C,5.051
10/20/12 5:28:01 AM,C,5.051
10/20/12 5:58:01 AM,C,5.051
10/20/12 6:28:01 AM,C,4.549
