1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 6200000013BD7E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Mar 30 10:35:01 CST 2013
Mission Sample Count:  6528
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Mar 30 10:35:01 CST 2013
Total Mission Samples:  6528
Total Device Samples:  70449
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/30/13 10:35:01 AM,C,20.602
3/30/13 11:05:01 AM,C,19.101
3/30/13 11:35:01 AM,C,19.601
3/30/13 12:05:01 PM,C,23.603
3/30/13 12:35:01 PM,C,23.603
3/30/13 1:05:01 PM,C,21.102
3/30/13 1:35:01 PM,C,22.603
3/30/13 2:05:01 PM,C,22.603
3/30/13 2:35:01 PM,C,22.103
3/30/13 3:05:01 PM,C,22.103
3/30/13 3:35:01 PM,C,21.603
3/30/13 4:05:01 PM,C,22.103
3/30/13 4:35:01 PM,C,21.102
3/30/13 5:05:01 PM,C,19.601
3/30/13 5:35:01 PM,C,20.602
3/30/13 6:05:01 PM,C,19.601
3/30/13 6:35:01 PM,C,18.6
3/30/13 7:05:01 PM,C,17.599
3/30/13 7:35:01 PM,C,17.099
3/30/13 8:05:01 PM,C,16.598
3/30/13 8:35:01 PM,C,16.098
3/30/13 9:05:01 PM,C,16.098
3/30/13 9:35:01 PM,C,15.096
3/30/13 10:05:01 PM,C,15.096
3/30/13 10:35:01 PM,C,14.596
3/30/13 11:05:01 PM,C,15.096
3/30/13 11:35:01 PM,C,15.096
3/31/13 12:05:01 AM,C,14.095
3/31/13 12:35:01 AM,C,14.095
3/31/13 1:05:01 AM,C,14.095
3/31/13 1:35:01 AM,C,14.095
3/31/13 2:05:01 AM,C,14.095
3/31/13 2:35:01 AM,C,14.095
3/31/13 3:05:01 AM,C,14.596
3/31/13 3:35:01 AM,C,14.596
3/31/13 4:05:01 AM,C,14.596
3/31/13 4:35:01 AM,C,14.095
3/31/13 5:05:01 AM,C,13.594
3/31/13 5:35:01 AM,C,13.093
3/31/13 6:05:01 AM,C,13.093
3/31/13 6:35:01 AM,C,12.592
3/31/13 7:05:01 AM,C,12.592
3/31/13 7:35:01 AM,C,13.093
3/31/13 8:05:01 AM,C,14.095
3/31/13 8:35:01 AM,C,13.594
3/31/13 9:05:01 AM,C,16.098
3/31/13 9:35:01 AM,C,21.603
3/31/13 10:05:01 AM,C,21.603
3/31/13 10:35:01 AM,C,19.601
3/31/13 11:05:01 AM,C,17.599
3/31/13 11:35:01 AM,C,18.1
3/31/13 12:05:01 PM,C,20.102
3/31/13 12:35:01 PM,C,19.101
3/31/13 1:05:01 PM,C,17.599
3/31/13 1:35:01 PM,C,19.601
3/31/13 2:05:01 PM,C,21.603
3/31/13 2:35:01 PM,C,24.103
3/31/13 3:05:01 PM,C,25.104
3/31/13 3:35:01 PM,C,24.103
3/31/13 4:05:01 PM,C,26.103
3/31/13 4:35:01 PM,C,21.603
3/31/13 5:05:01 PM,C,20.102
3/31/13 5:35:01 PM,C,20.102
3/31/13 6:05:01 PM,C,18.6
3/31/13 6:35:01 PM,C,16.598
3/31/13 7:05:01 PM,C,15.096
3/31/13 7:35:01 PM,C,13.093
3/31/13 8:05:01 PM,C,12.092
3/31/13 8:35:01 PM,C,11.591
3/31/13 9:05:01 PM,C,11.09
3/31/13 9:35:01 PM,C,11.09
3/31/13 10:05:01 PM,C,11.591
3/31/13 10:35:01 PM,C,11.09
3/31/13 11:05:01 PM,C,11.09
3/31/13 11:35:01 PM,C,11.09
4/1/13 12:05:01 AM,C,10.589
4/1/13 12:35:01 AM,C,10.589
4/1/13 1:05:01 AM,C,10.589
4/1/13 1:35:01 AM,C,11.591
4/1/13 2:05:01 AM,C,12.092
4/1/13 2:35:01 AM,C,12.092
4/1/13 3:05:01 AM,C,11.591
4/1/13 3:35:01 AM,C,10.589
4/1/13 4:05:01 AM,C,10.589
4/1/13 4:35:01 AM,C,11.09
4/1/13 5:05:01 AM,C,11.09
4/1/13 5:35:01 AM,C,11.591
4/1/13 6:05:01 AM,C,11.591
4/1/13 6:35:01 AM,C,11.591
4/1/13 7:05:01 AM,C,11.591
4/1/13 7:35:01 AM,C,11.591
4/1/13 8:05:01 AM,C,12.592
4/1/13 8:35:01 AM,C,13.093
4/1/13 9:05:01 AM,C,16.098
4/1/13 9:35:01 AM,C,19.101
4/1/13 10:05:01 AM,C,19.601
4/1/13 10:35:01 AM,C,21.102
4/1/13 11:05:01 AM,C,20.602
4/1/13 11:35:01 AM,C,22.103
4/1/13 12:05:01 PM,C,23.603
4/1/13 12:35:01 PM,C,23.103
4/1/13 1:05:01 PM,C,21.603
4/1/13 1:35:01 PM,C,22.103
4/1/13 2:05:01 PM,C,25.604
4/1/13 2:35:01 PM,C,28.603
4/1/13 3:05:01 PM,C,30.102
4/1/13 3:35:01 PM,C,29.602
4/1/13 4:05:01 PM,C,25.604
4/1/13 4:35:01 PM,C,23.103
4/1/13 5:05:01 PM,C,24.103
4/1/13 5:35:01 PM,C,24.103
4/1/13 6:05:01 PM,C,21.603
4/1/13 6:35:01 PM,C,20.102
4/1/13 7:05:01 PM,C,18.6
4/1/13 7:35:01 PM,C,17.099
4/1/13 8:05:01 PM,C,16.098
4/1/13 8:35:01 PM,C,16.098
4/1/13 9:05:01 PM,C,16.098
4/1/13 9:35:01 PM,C,13.594
4/1/13 10:05:01 PM,C,13.594
4/1/13 10:35:01 PM,C,13.594
4/1/13 11:05:01 PM,C,13.594
4/1/13 11:35:01 PM,C,13.594
4/2/13 12:05:01 AM,C,13.594
4/2/13 12:35:01 AM,C,13.093
4/2/13 1:05:01 AM,C,12.592
4/2/13 1:35:01 AM,C,13.093
4/2/13 2:05:01 AM,C,13.093
4/2/13 2:35:01 AM,C,12.592
4/2/13 3:05:01 AM,C,13.093
4/2/13 3:35:01 AM,C,13.093
4/2/13 4:05:01 AM,C,13.093
4/2/13 4:35:01 AM,C,12.592
4/2/13 5:05:01 AM,C,12.092
4/2/13 5:35:01 AM,C,12.092
4/2/13 6:05:01 AM,C,12.592
4/2/13 6:35:01 AM,C,13.093
4/2/13 7:05:01 AM,C,13.093
4/2/13 7:35:01 AM,C,13.594
4/2/13 8:05:01 AM,C,14.596
4/2/13 8:35:01 AM,C,14.596
4/2/13 9:05:01 AM,C,16.098
4/2/13 9:35:01 AM,C,19.101
4/2/13 10:05:01 AM,C,15.096
4/2/13 10:35:01 AM,C,19.101
4/2/13 11:05:01 AM,C,18.6
4/2/13 11:35:01 AM,C,18.6
4/2/13 12:05:01 PM,C,15.597
4/2/13 12:35:01 PM,C,20.102
4/2/13 1:05:01 PM,C,21.603
4/2/13 1:35:01 PM,C,20.602
4/2/13 2:05:01 PM,C,25.104
4/2/13 2:35:01 PM,C,23.603
4/2/13 3:05:01 PM,C,23.603
4/2/13 3:35:01 PM,C,21.102
4/2/13 4:05:01 PM,C,23.603
4/2/13 4:35:01 PM,C,22.103
4/2/13 5:05:01 PM,C,19.101
4/2/13 5:35:01 PM,C,17.099
4/2/13 6:05:01 PM,C,16.098
4/2/13 6:35:01 PM,C,13.093
4/2/13 7:05:01 PM,C,11.591
4/2/13 7:35:01 PM,C,10.088
4/2/13 8:05:01 PM,C,10.088
4/2/13 8:35:01 PM,C,11.09
4/2/13 9:05:01 PM,C,11.09
4/2/13 9:35:01 PM,C,12.592
4/2/13 10:05:01 PM,C,12.592
4/2/13 10:35:01 PM,C,8.584
4/2/13 11:05:01 PM,C,7.582
4/2/13 11:35:01 PM,C,9.085
4/3/13 12:05:01 AM,C,9.085
4/3/13 12:35:01 AM,C,8.584
4/3/13 1:05:01 AM,C,8.083
4/3/13 1:35:01 AM,C,8.083
4/3/13 2:05:01 AM,C,9.085
4/3/13 2:35:01 AM,C,6.579
4/3/13 3:05:01 AM,C,7.582
4/3/13 3:35:01 AM,C,5.577
4/3/13 4:05:01 AM,C,8.584
4/3/13 4:35:01 AM,C,6.579
4/3/13 5:05:01 AM,C,2.066
4/3/13 5:35:01 AM,C,1.565
4/3/13 6:05:01 AM,C,1.063
4/3/13 6:35:01 AM,C,1.063
4/3/13 7:05:01 AM,C,1.063
4/3/13 7:35:01 AM,C,5.577
4/3/13 8:05:01 AM,C,6.579
4/3/13 8:35:01 AM,C,8.083
4/3/13 9:05:01 AM,C,9.085
4/3/13 9:35:01 AM,C,14.596
4/3/13 10:05:01 AM,C,14.095
4/3/13 10:35:01 AM,C,13.093
4/3/13 11:05:01 AM,C,13.093
4/3/13 11:35:01 AM,C,14.596
4/3/13 12:05:01 PM,C,15.096
4/3/13 12:35:01 PM,C,15.096
4/3/13 1:05:01 PM,C,13.093
4/3/13 1:35:01 PM,C,15.096
4/3/13 2:05:01 PM,C,20.602
4/3/13 2:35:01 PM,C,21.603
4/3/13 3:05:01 PM,C,20.602
4/3/13 3:35:01 PM,C,20.102
4/3/13 4:05:01 PM,C,17.099
4/3/13 4:35:01 PM,C,15.597
4/3/13 5:05:01 PM,C,14.596
4/3/13 5:35:01 PM,C,14.095
4/3/13 6:05:01 PM,C,13.093
4/3/13 6:35:01 PM,C,11.591
4/3/13 7:05:01 PM,C,10.088
4/3/13 7:35:01 PM,C,7.582
4/3/13 8:05:01 PM,C,6.579
4/3/13 8:35:01 PM,C,6.579
4/3/13 9:05:01 PM,C,7.582
4/3/13 9:35:01 PM,C,7.081
4/3/13 10:05:01 PM,C,7.582
4/3/13 10:35:01 PM,C,8.083
4/3/13 11:05:01 PM,C,8.083
4/3/13 11:35:01 PM,C,8.584
4/4/13 12:05:01 AM,C,8.083
4/4/13 12:35:01 AM,C,8.584
4/4/13 1:05:01 AM,C,9.085
4/4/13 1:35:01 AM,C,9.085
4/4/13 2:05:01 AM,C,9.085
4/4/13 2:35:01 AM,C,9.085
4/4/13 3:05:01 AM,C,8.584
4/4/13 3:35:01 AM,C,8.584
4/4/13 4:05:01 AM,C,9.085
4/4/13 4:35:01 AM,C,9.085
4/4/13 5:05:01 AM,C,9.085
4/4/13 5:35:01 AM,C,8.584
4/4/13 6:05:01 AM,C,7.582
4/4/13 6:35:01 AM,C,9.085
4/4/13 7:05:01 AM,C,7.582
4/4/13 7:35:01 AM,C,7.582
4/4/13 8:05:01 AM,C,8.584
4/4/13 8:35:01 AM,C,10.088
4/4/13 9:05:01 AM,C,12.592
4/4/13 9:35:01 AM,C,18.1
4/4/13 10:05:01 AM,C,17.599
4/4/13 10:35:01 AM,C,17.099
4/4/13 11:05:01 AM,C,17.099
4/4/13 11:35:01 AM,C,17.599
4/4/13 12:05:01 PM,C,20.602
4/4/13 12:35:01 PM,C,20.602
4/4/13 1:05:01 PM,C,17.599
4/4/13 1:35:01 PM,C,19.101
4/4/13 2:05:01 PM,C,24.103
4/4/13 2:35:01 PM,C,27.103
4/4/13 3:05:01 PM,C,26.603
4/4/13 3:35:01 PM,C,24.603
4/4/13 4:05:01 PM,C,26.103
4/4/13 4:35:01 PM,C,22.603
4/4/13 5:05:01 PM,C,21.102
4/4/13 5:35:01 PM,C,20.102
4/4/13 6:05:01 PM,C,19.101
4/4/13 6:35:01 PM,C,17.099
4/4/13 7:05:01 PM,C,13.594
4/4/13 7:35:01 PM,C,12.592
4/4/13 8:05:01 PM,C,12.092
4/4/13 8:35:01 PM,C,11.591
4/4/13 9:05:01 PM,C,11.09
4/4/13 9:35:01 PM,C,11.09
4/4/13 10:05:01 PM,C,11.09
4/4/13 10:35:01 PM,C,11.09
4/4/13 11:05:01 PM,C,10.589
4/4/13 11:35:01 PM,C,10.088
4/5/13 12:05:01 AM,C,10.589
4/5/13 12:35:01 AM,C,11.09
4/5/13 1:05:01 AM,C,11.09
4/5/13 1:35:01 AM,C,11.09
4/5/13 2:05:01 AM,C,11.09
4/5/13 2:35:01 AM,C,11.591
4/5/13 3:05:01 AM,C,11.591
4/5/13 3:35:01 AM,C,11.09
4/5/13 4:05:01 AM,C,11.591
4/5/13 4:35:01 AM,C,11.09
4/5/13 5:05:01 AM,C,11.09
4/5/13 5:35:01 AM,C,10.589
4/5/13 6:05:01 AM,C,11.09
4/5/13 6:35:01 AM,C,10.589
4/5/13 7:05:01 AM,C,10.589
4/5/13 7:35:01 AM,C,11.09
4/5/13 8:05:01 AM,C,12.092
4/5/13 8:35:01 AM,C,13.594
4/5/13 9:05:01 AM,C,14.596
4/5/13 9:35:01 AM,C,18.1
4/5/13 10:05:01 AM,C,18.6
4/5/13 10:35:01 AM,C,17.599
4/5/13 11:05:01 AM,C,17.099
4/5/13 11:35:01 AM,C,19.601
4/5/13 12:05:01 PM,C,20.102
4/5/13 12:35:01 PM,C,20.602
4/5/13 1:05:01 PM,C,20.602
4/5/13 1:35:01 PM,C,22.103
4/5/13 2:05:01 PM,C,24.603
4/5/13 2:35:01 PM,C,26.103
4/5/13 3:05:01 PM,C,25.604
4/5/13 3:35:01 PM,C,23.103
4/5/13 4:05:01 PM,C,25.604
4/5/13 4:35:01 PM,C,24.103
4/5/13 5:05:01 PM,C,22.103
4/5/13 5:35:01 PM,C,20.102
4/5/13 6:05:01 PM,C,18.6
4/5/13 6:35:01 PM,C,18.6
4/5/13 7:05:01 PM,C,17.099
4/5/13 7:35:01 PM,C,16.598
4/5/13 8:05:01 PM,C,16.098
4/5/13 8:35:01 PM,C,15.096
4/5/13 9:05:01 PM,C,15.096
4/5/13 9:35:01 PM,C,15.096
4/5/13 10:05:01 PM,C,15.096
4/5/13 10:35:01 PM,C,14.596
4/5/13 11:05:01 PM,C,14.095
4/5/13 11:35:01 PM,C,14.095
4/6/13 12:05:01 AM,C,14.596
4/6/13 12:35:01 AM,C,14.095
4/6/13 1:05:01 AM,C,13.594
4/6/13 1:35:01 AM,C,14.095
4/6/13 2:05:01 AM,C,14.095
4/6/13 2:35:01 AM,C,14.095
4/6/13 3:05:01 AM,C,13.093
4/6/13 3:35:01 AM,C,14.095
4/6/13 4:05:01 AM,C,13.594
4/6/13 4:35:01 AM,C,12.592
4/6/13 5:05:01 AM,C,12.092
4/6/13 5:35:01 AM,C,12.092
4/6/13 6:05:01 AM,C,12.092
4/6/13 6:35:01 AM,C,12.092
4/6/13 7:05:01 AM,C,12.592
4/6/13 7:35:01 AM,C,12.592
4/6/13 8:05:01 AM,C,13.093
4/6/13 8:35:01 AM,C,14.095
4/6/13 9:05:01 AM,C,15.597
4/6/13 9:35:01 AM,C,19.101
4/6/13 10:05:01 AM,C,18.6
4/6/13 10:35:01 AM,C,18.6
4/6/13 11:05:01 AM,C,17.099
4/6/13 11:35:01 AM,C,20.602
4/6/13 12:05:01 PM,C,23.103
4/6/13 12:35:01 PM,C,23.103
4/6/13 1:05:01 PM,C,21.102
4/6/13 1:35:01 PM,C,21.102
4/6/13 2:05:01 PM,C,27.103
4/6/13 2:35:01 PM,C,25.104
4/6/13 3:05:01 PM,C,21.603
4/6/13 3:35:01 PM,C,25.604
4/6/13 4:05:01 PM,C,26.103
4/6/13 4:35:01 PM,C,23.603
4/6/13 5:05:01 PM,C,21.603
4/6/13 5:35:01 PM,C,22.103
4/6/13 6:05:01 PM,C,20.602
4/6/13 6:35:01 PM,C,19.101
4/6/13 7:05:01 PM,C,17.599
4/6/13 7:35:01 PM,C,16.598
4/6/13 8:05:01 PM,C,16.098
4/6/13 8:35:01 PM,C,15.597
4/6/13 9:05:01 PM,C,15.597
4/6/13 9:35:01 PM,C,15.597
4/6/13 10:05:01 PM,C,15.096
4/6/13 10:35:01 PM,C,15.096
4/6/13 11:05:01 PM,C,14.596
4/6/13 11:35:01 PM,C,14.596
4/7/13 12:05:01 AM,C,14.596
4/7/13 12:35:01 AM,C,14.596
4/7/13 1:05:01 AM,C,14.095
4/7/13 1:35:01 AM,C,13.594
4/7/13 3:05:01 AM,C,14.095
4/7/13 3:35:01 AM,C,13.594
4/7/13 4:05:01 AM,C,14.095
4/7/13 4:35:01 AM,C,14.095
4/7/13 5:05:01 AM,C,13.594
4/7/13 5:35:01 AM,C,14.095
4/7/13 6:05:01 AM,C,13.093
4/7/13 6:35:01 AM,C,12.592
4/7/13 7:05:01 AM,C,12.092
4/7/13 7:35:01 AM,C,12.092
4/7/13 8:05:01 AM,C,12.092
4/7/13 8:35:01 AM,C,12.592
4/7/13 9:05:01 AM,C,13.093
4/7/13 9:35:01 AM,C,14.095
4/7/13 10:05:01 AM,C,15.597
4/7/13 10:35:01 AM,C,20.102
4/7/13 11:05:01 AM,C,18.6
4/7/13 11:35:01 AM,C,19.101
4/7/13 12:05:01 PM,C,19.101
4/7/13 12:35:01 PM,C,21.603
4/7/13 1:05:01 PM,C,22.603
4/7/13 1:35:01 PM,C,23.603
4/7/13 2:05:01 PM,C,22.103
4/7/13 2:35:01 PM,C,23.603
4/7/13 3:05:01 PM,C,26.603
4/7/13 3:35:01 PM,C,26.103
4/7/13 4:05:01 PM,C,28.103
4/7/13 4:35:01 PM,C,26.603
4/7/13 5:05:01 PM,C,25.104
4/7/13 5:35:01 PM,C,22.603
4/7/13 6:05:01 PM,C,22.603
4/7/13 6:35:01 PM,C,22.603
4/7/13 7:05:01 PM,C,21.603
4/7/13 7:35:01 PM,C,20.102
4/7/13 8:05:01 PM,C,19.101
4/7/13 8:35:01 PM,C,17.599
4/7/13 9:05:01 PM,C,16.598
4/7/13 9:35:01 PM,C,16.098
4/7/13 10:05:01 PM,C,15.597
4/7/13 10:35:01 PM,C,15.096
4/7/13 11:05:01 PM,C,15.597
4/7/13 11:35:01 PM,C,15.597
4/8/13 12:05:01 AM,C,15.597
4/8/13 12:35:01 AM,C,15.096
4/8/13 1:05:01 AM,C,15.597
4/8/13 1:35:01 AM,C,15.096
4/8/13 2:05:01 AM,C,14.596
4/8/13 2:35:01 AM,C,14.596
4/8/13 3:05:01 AM,C,14.095
4/8/13 3:35:01 AM,C,13.594
4/8/13 4:05:01 AM,C,13.594
4/8/13 4:35:01 AM,C,13.594
4/8/13 5:05:01 AM,C,13.093
4/8/13 5:35:01 AM,C,12.592
4/8/13 6:05:01 AM,C,12.592
4/8/13 6:35:01 AM,C,12.092
4/8/13 7:05:01 AM,C,11.591
4/8/13 7:35:01 AM,C,12.092
4/8/13 8:05:01 AM,C,12.092
4/8/13 8:35:01 AM,C,11.591
4/8/13 9:05:01 AM,C,12.092
4/8/13 9:35:01 AM,C,14.095
4/8/13 10:05:01 AM,C,15.597
4/8/13 10:35:01 AM,C,20.102
4/8/13 11:05:01 AM,C,19.601
4/8/13 11:35:01 AM,C,19.101
4/8/13 12:05:01 PM,C,19.601
4/8/13 12:35:01 PM,C,22.603
4/8/13 1:05:01 PM,C,23.103
4/8/13 1:35:01 PM,C,25.604
4/8/13 2:05:01 PM,C,23.103
4/8/13 2:35:01 PM,C,24.603
4/8/13 3:05:01 PM,C,28.603
4/8/13 3:35:01 PM,C,27.103
4/8/13 4:05:01 PM,C,28.103
4/8/13 4:35:01 PM,C,27.603
4/8/13 5:05:01 PM,C,27.603
4/8/13 5:35:01 PM,C,24.603
4/8/13 6:05:01 PM,C,24.103
4/8/13 6:35:01 PM,C,24.103
4/8/13 7:05:01 PM,C,22.103
4/8/13 7:35:01 PM,C,21.102
4/8/13 8:05:01 PM,C,20.102
4/8/13 8:35:01 PM,C,18.6
4/8/13 9:05:01 PM,C,18.1
4/8/13 9:35:01 PM,C,17.599
4/8/13 10:05:01 PM,C,18.1
4/8/13 10:35:01 PM,C,17.599
4/8/13 11:05:01 PM,C,17.599
4/8/13 11:35:01 PM,C,17.099
4/9/13 12:05:01 AM,C,16.598
4/9/13 12:35:01 AM,C,16.598
4/9/13 1:05:01 AM,C,15.597
4/9/13 1:35:01 AM,C,15.597
4/9/13 2:05:01 AM,C,15.096
4/9/13 2:35:01 AM,C,14.596
4/9/13 3:05:01 AM,C,14.095
4/9/13 3:35:01 AM,C,13.594
4/9/13 4:05:01 AM,C,13.093
4/9/13 4:35:01 AM,C,12.592
4/9/13 5:05:01 AM,C,12.592
4/9/13 5:35:01 AM,C,12.092
4/9/13 6:05:01 AM,C,12.092
4/9/13 6:35:01 AM,C,11.591
4/9/13 7:05:01 AM,C,11.09
4/9/13 7:35:01 AM,C,10.589
4/9/13 8:05:01 AM,C,10.589
4/9/13 8:35:01 AM,C,10.589
4/9/13 9:05:01 AM,C,11.09
4/9/13 9:35:01 AM,C,12.592
4/9/13 10:05:01 AM,C,14.596
4/9/13 10:35:01 AM,C,19.101
4/9/13 11:05:01 AM,C,18.6
4/9/13 11:35:01 AM,C,17.599
4/9/13 12:05:01 PM,C,18.1
4/9/13 12:35:01 PM,C,19.601
4/9/13 1:05:01 PM,C,22.103
4/9/13 1:35:01 PM,C,22.603
4/9/13 2:05:01 PM,C,22.103
4/9/13 2:35:01 PM,C,23.603
4/9/13 3:05:01 PM,C,26.103
4/9/13 3:35:01 PM,C,23.603
4/9/13 4:05:01 PM,C,24.603
4/9/13 4:35:01 PM,C,22.603
4/9/13 5:05:01 PM,C,21.603
4/9/13 5:35:01 PM,C,19.601
4/9/13 6:05:01 PM,C,17.599
4/9/13 6:35:01 PM,C,16.098
4/9/13 7:05:01 PM,C,14.095
4/9/13 7:35:01 PM,C,11.591
4/9/13 8:05:01 PM,C,10.589
4/9/13 8:35:01 PM,C,9.587
4/9/13 9:05:01 PM,C,8.584
4/9/13 9:35:01 PM,C,8.083
4/9/13 10:05:01 PM,C,7.582
4/9/13 10:35:01 PM,C,7.582
4/9/13 11:05:01 PM,C,7.081
4/9/13 11:35:01 PM,C,6.078
4/10/13 12:05:01 AM,C,5.577
4/10/13 12:35:01 AM,C,5.075
4/10/13 1:05:01 AM,C,5.075
4/10/13 1:35:01 AM,C,4.574
4/10/13 2:05:01 AM,C,4.574
4/10/13 2:35:01 AM,C,4.073
4/10/13 3:05:01 AM,C,3.571
4/10/13 3:35:01 AM,C,2.568
4/10/13 4:05:01 AM,C,2.066
4/10/13 4:35:01 AM,C,1.565
4/10/13 5:05:01 AM,C,0.561
4/10/13 5:35:01 AM,C,0.561
4/10/13 6:05:01 AM,C,0.06
4/10/13 6:35:01 AM,C,0.06
4/10/13 7:05:01 AM,C,0.06
4/10/13 7:35:01 AM,C,0.561
4/10/13 8:05:01 AM,C,0.561
4/10/13 8:35:01 AM,C,0.561
4/10/13 9:05:01 AM,C,1.565
4/10/13 9:35:01 AM,C,3.571
4/10/13 10:05:01 AM,C,4.574
4/10/13 10:35:01 AM,C,8.584
4/10/13 11:05:01 AM,C,7.582
4/10/13 11:35:01 AM,C,7.582
4/10/13 12:05:01 PM,C,7.582
4/10/13 12:35:01 PM,C,10.589
4/10/13 1:05:01 PM,C,12.592
4/10/13 1:35:01 PM,C,13.093
4/10/13 2:05:01 PM,C,11.591
4/10/13 2:35:01 PM,C,12.592
4/10/13 3:05:01 PM,C,17.099
4/10/13 3:35:01 PM,C,16.098
4/10/13 4:05:01 PM,C,17.599
4/10/13 4:35:01 PM,C,13.594
4/10/13 5:05:01 PM,C,14.095
4/10/13 5:35:01 PM,C,12.592
4/10/13 6:05:01 PM,C,10.088
4/10/13 6:35:01 PM,C,10.589
4/10/13 7:05:01 PM,C,11.09
4/10/13 7:35:01 PM,C,9.587
4/10/13 8:05:01 PM,C,8.083
4/10/13 8:35:01 PM,C,7.081
4/10/13 9:05:01 PM,C,6.579
4/10/13 9:35:01 PM,C,6.579
4/10/13 10:05:01 PM,C,6.579
4/10/13 10:35:01 PM,C,6.078
4/10/13 11:05:01 PM,C,5.577
4/10/13 11:35:01 PM,C,5.577
4/11/13 12:05:01 AM,C,5.577
4/11/13 12:35:01 AM,C,5.577
4/11/13 1:05:01 AM,C,5.075
4/11/13 1:35:01 AM,C,4.574
4/11/13 2:05:01 AM,C,4.574
4/11/13 2:35:01 AM,C,4.574
4/11/13 3:05:01 AM,C,4.574
4/11/13 3:35:01 AM,C,4.574
4/11/13 4:05:01 AM,C,4.574
4/11/13 4:35:01 AM,C,4.073
4/11/13 5:05:01 AM,C,4.073
4/11/13 5:35:01 AM,C,3.571
4/11/13 6:05:01 AM,C,3.571
4/11/13 6:35:01 AM,C,3.571
4/11/13 7:05:01 AM,C,3.571
4/11/13 7:35:01 AM,C,3.571
4/11/13 8:05:01 AM,C,3.571
4/11/13 8:35:01 AM,C,3.571
4/11/13 9:05:01 AM,C,3.571
4/11/13 9:35:01 AM,C,5.075
4/11/13 10:05:01 AM,C,6.078
4/11/13 10:35:01 AM,C,9.085
4/11/13 11:05:01 AM,C,8.584
4/11/13 11:35:01 AM,C,8.083
4/11/13 12:05:01 PM,C,9.085
4/11/13 12:35:01 PM,C,10.589
4/11/13 1:05:01 PM,C,12.092
4/11/13 1:35:01 PM,C,12.092
4/11/13 2:05:01 PM,C,13.093
4/11/13 2:35:01 PM,C,13.594
4/11/13 3:05:01 PM,C,17.599
4/11/13 3:35:01 PM,C,17.099
4/11/13 4:05:01 PM,C,19.101
4/11/13 4:35:01 PM,C,17.599
4/11/13 5:05:01 PM,C,16.598
4/11/13 5:35:01 PM,C,16.098
4/11/13 6:05:01 PM,C,15.597
4/11/13 6:35:01 PM,C,14.596
4/11/13 7:05:01 PM,C,13.594
4/11/13 7:35:01 PM,C,12.092
4/11/13 8:05:01 PM,C,11.591
4/11/13 8:35:01 PM,C,9.587
4/11/13 9:05:01 PM,C,9.085
4/11/13 9:35:01 PM,C,9.085
4/11/13 10:05:01 PM,C,8.584
4/11/13 10:35:01 PM,C,8.584
4/11/13 11:05:01 PM,C,9.587
4/11/13 11:35:01 PM,C,9.085
4/12/13 12:05:01 AM,C,8.083
4/12/13 12:35:01 AM,C,8.584
4/12/13 1:05:01 AM,C,8.584
4/12/13 1:35:01 AM,C,8.584
4/12/13 2:05:01 AM,C,8.584
4/12/13 2:35:01 AM,C,9.085
4/12/13 3:05:01 AM,C,8.584
4/12/13 3:35:01 AM,C,9.587
4/12/13 4:05:01 AM,C,9.587
4/12/13 4:35:01 AM,C,9.587
4/12/13 5:05:01 AM,C,9.587
4/12/13 5:35:01 AM,C,9.587
4/12/13 6:05:01 AM,C,10.088
4/12/13 6:35:01 AM,C,10.088
4/12/13 7:05:01 AM,C,9.587
4/12/13 7:35:01 AM,C,9.587
4/12/13 8:05:01 AM,C,9.587
4/12/13 8:35:01 AM,C,10.088
4/12/13 9:05:01 AM,C,10.589
4/12/13 9:35:01 AM,C,13.594
4/12/13 10:05:01 AM,C,15.597
4/12/13 10:35:01 AM,C,20.102
4/12/13 11:05:01 AM,C,19.101
4/12/13 11:35:01 AM,C,18.1
4/12/13 12:05:01 PM,C,18.6
4/12/13 12:35:01 PM,C,20.102
4/12/13 1:05:01 PM,C,21.603
4/12/13 1:35:01 PM,C,22.103
4/12/13 2:05:01 PM,C,20.602
4/12/13 2:35:01 PM,C,22.603
4/12/13 3:05:01 PM,C,27.103
4/12/13 3:35:01 PM,C,26.603
4/12/13 4:05:01 PM,C,30.102
4/12/13 4:35:01 PM,C,24.603
4/12/13 5:05:01 PM,C,24.603
4/12/13 5:35:01 PM,C,22.103
4/12/13 6:05:01 PM,C,21.102
4/12/13 6:35:01 PM,C,21.603
4/12/13 7:05:01 PM,C,20.102
4/12/13 7:35:01 PM,C,17.599
4/12/13 8:05:01 PM,C,16.098
4/12/13 8:35:01 PM,C,14.596
4/12/13 9:05:01 PM,C,13.594
4/12/13 9:35:01 PM,C,13.594
4/12/13 10:05:01 PM,C,12.592
4/12/13 10:35:01 PM,C,12.092
4/12/13 11:05:01 PM,C,12.092
4/12/13 11:35:01 PM,C,11.591
4/13/13 12:05:01 AM,C,10.589
4/13/13 12:35:01 AM,C,10.589
