1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7800000014985E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 4000 second(s)
Mission Start Time:  Sun Sep 14 11:35:41 CDT 2014
Mission Sample Count:  7841
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sun Sep 14 11:35:41 CDT 2014
Total Mission Samples:  7841
Total Device Samples:  44404
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/14/14 11:35:41 AM,C,16.682
9/14/14 12:42:21 PM,C,16.181
9/14/14 1:49:01 PM,C,17.183
9/14/14 2:55:41 PM,C,16.682
9/14/14 4:02:21 PM,C,16.682
9/14/14 5:09:01 PM,C,17.183
9/14/14 6:15:41 PM,C,16.181
9/14/14 7:22:21 PM,C,14.175
9/14/14 8:29:01 PM,C,13.172
9/14/14 9:35:41 PM,C,13.172
9/14/14 10:42:21 PM,C,13.674
9/14/14 11:49:01 PM,C,13.172
9/15/14 12:55:41 AM,C,12.671
9/15/14 2:02:21 AM,C,12.671
9/15/14 3:09:01 AM,C,12.169
9/15/14 4:15:41 AM,C,12.671
9/15/14 5:22:21 AM,C,13.172
9/15/14 6:29:01 AM,C,12.671
9/15/14 7:35:41 AM,C,12.169
9/15/14 8:42:21 AM,C,12.671
9/15/14 9:49:01 AM,C,18.185
9/15/14 10:55:41 AM,C,17.183
9/15/14 12:02:21 PM,C,17.183
9/15/14 1:09:01 PM,C,17.684
9/15/14 2:15:41 PM,C,18.185
9/15/14 3:22:21 PM,C,18.185
9/15/14 4:29:01 PM,C,17.684
9/15/14 5:35:41 PM,C,17.183
9/15/14 6:42:21 PM,C,16.682
9/15/14 7:49:01 PM,C,15.679
9/15/14 8:55:41 PM,C,15.178
9/15/14 10:02:21 PM,C,14.677
9/15/14 11:09:01 PM,C,14.677
9/16/14 12:15:41 AM,C,14.175
9/16/14 1:22:21 AM,C,13.674
9/16/14 2:29:01 AM,C,13.674
9/16/14 3:35:41 AM,C,13.674
9/16/14 4:42:21 AM,C,13.674
9/16/14 5:49:01 AM,C,13.674
9/16/14 6:55:41 AM,C,13.674
9/16/14 8:02:21 AM,C,13.674
9/16/14 9:09:01 AM,C,13.674
9/16/14 10:15:41 AM,C,13.674
9/16/14 11:22:21 AM,C,14.175
9/16/14 12:29:01 PM,C,14.175
9/16/14 1:35:41 PM,C,15.178
9/16/14 2:42:21 PM,C,17.684
9/16/14 3:49:01 PM,C,18.686
9/16/14 4:55:41 PM,C,18.686
9/16/14 6:02:21 PM,C,17.684
9/16/14 7:09:01 PM,C,15.679
9/16/14 8:15:41 PM,C,14.677
9/16/14 9:22:21 PM,C,14.677
9/16/14 10:29:01 PM,C,14.677
9/16/14 11:35:41 PM,C,14.677
9/17/14 12:42:21 AM,C,14.677
9/17/14 1:49:01 AM,C,14.677
9/17/14 2:55:41 AM,C,14.677
9/17/14 4:02:21 AM,C,14.677
9/17/14 5:09:01 AM,C,14.677
9/17/14 6:15:41 AM,C,14.677
9/17/14 7:22:21 AM,C,14.175
9/17/14 8:29:01 AM,C,14.175
9/17/14 9:35:41 AM,C,16.682
9/17/14 10:42:21 AM,C,18.185
9/17/14 11:49:01 AM,C,21.189
9/17/14 12:55:41 PM,C,19.687
9/17/14 2:02:21 PM,C,19.687
9/17/14 3:09:01 PM,C,19.687
9/17/14 4:15:41 PM,C,19.187
9/17/14 5:22:21 PM,C,20.689
9/17/14 6:29:01 PM,C,17.684
9/17/14 7:35:41 PM,C,17.183
9/17/14 8:42:21 PM,C,16.682
9/17/14 9:49:01 PM,C,16.181
9/17/14 10:55:41 PM,C,16.682
9/18/14 12:02:21 AM,C,15.679
9/18/14 1:09:01 AM,C,14.677
9/18/14 2:15:41 AM,C,12.671
9/18/14 3:22:21 AM,C,13.172
9/18/14 4:29:01 AM,C,12.671
9/18/14 5:35:41 AM,C,12.671
9/18/14 6:42:21 AM,C,13.674
9/18/14 7:49:01 AM,C,13.674
9/18/14 8:55:41 AM,C,13.674
9/18/14 10:02:21 AM,C,15.178
9/18/14 11:09:01 AM,C,18.185
9/18/14 12:15:41 PM,C,19.687
9/18/14 1:22:21 PM,C,18.686
9/18/14 2:29:01 PM,C,19.187
9/18/14 3:35:41 PM,C,19.187
9/18/14 4:42:21 PM,C,17.684
9/18/14 5:49:01 PM,C,16.682
9/18/14 6:55:41 PM,C,18.185
9/18/14 8:02:21 PM,C,15.178
9/18/14 9:09:01 PM,C,15.178
9/18/14 10:15:41 PM,C,15.679
9/18/14 11:22:21 PM,C,15.178
9/19/14 12:29:01 AM,C,15.679
9/19/14 1:35:41 AM,C,15.178
9/19/14 2:42:21 AM,C,15.178
9/19/14 3:49:01 AM,C,15.178
9/19/14 4:55:41 AM,C,15.178
9/19/14 6:02:21 AM,C,15.178
9/19/14 7:09:01 AM,C,15.178
9/19/14 8:15:41 AM,C,15.178
9/19/14 9:22:21 AM,C,15.178
9/19/14 10:29:01 AM,C,15.679
9/19/14 11:35:41 AM,C,17.684
9/19/14 12:42:21 PM,C,17.684
9/19/14 1:49:01 PM,C,18.686
9/19/14 2:55:41 PM,C,17.183
9/19/14 4:02:21 PM,C,17.684
9/19/14 5:09:01 PM,C,18.185
9/19/14 6:15:41 PM,C,19.187
9/19/14 7:22:21 PM,C,18.185
9/19/14 8:29:01 PM,C,16.682
9/19/14 9:35:41 PM,C,15.679
9/19/14 10:42:21 PM,C,16.181
9/19/14 11:49:01 PM,C,15.178
9/20/14 12:55:41 AM,C,15.679
9/20/14 2:02:21 AM,C,15.679
9/20/14 3:09:01 AM,C,15.679
9/20/14 4:15:41 AM,C,15.178
9/20/14 5:22:21 AM,C,15.178
9/20/14 6:29:01 AM,C,15.178
9/20/14 7:35:41 AM,C,14.677
9/20/14 8:42:21 AM,C,15.679
9/20/14 9:49:01 AM,C,20.188
9/20/14 10:55:41 AM,C,19.187
9/20/14 12:02:21 PM,C,19.187
9/20/14 1:09:01 PM,C,20.689
9/20/14 2:15:41 PM,C,19.687
9/20/14 3:22:21 PM,C,20.689
9/20/14 4:29:01 PM,C,19.187
9/20/14 5:35:41 PM,C,18.686
9/20/14 6:42:21 PM,C,19.687
9/20/14 7:49:01 PM,C,16.682
9/20/14 8:55:41 PM,C,16.181
9/20/14 10:02:21 PM,C,16.181
9/20/14 11:09:01 PM,C,15.679
9/21/14 12:15:41 AM,C,15.679
9/21/14 1:22:21 AM,C,15.178
9/21/14 2:29:01 AM,C,15.178
9/21/14 3:35:41 AM,C,14.677
9/21/14 4:42:21 AM,C,14.677
9/21/14 5:49:01 AM,C,15.178
9/21/14 6:55:41 AM,C,14.677
9/21/14 8:02:21 AM,C,14.677
9/21/14 9:09:01 AM,C,17.183
9/21/14 10:15:41 AM,C,19.687
9/21/14 11:22:21 AM,C,17.183
9/21/14 12:29:01 PM,C,18.185
9/21/14 1:35:41 PM,C,16.181
9/21/14 2:42:21 PM,C,17.183
9/21/14 3:49:01 PM,C,17.684
9/21/14 4:55:41 PM,C,19.687
9/21/14 6:02:21 PM,C,17.183
9/21/14 7:09:01 PM,C,17.183
9/21/14 8:15:41 PM,C,15.178
9/21/14 9:22:21 PM,C,14.677
9/21/14 10:29:01 PM,C,14.175
9/21/14 11:35:41 PM,C,14.175
9/22/14 12:42:21 AM,C,14.175
9/22/14 1:49:01 AM,C,14.677
9/22/14 2:55:41 AM,C,14.175
9/22/14 4:02:21 AM,C,14.677
9/22/14 5:09:01 AM,C,14.175
9/22/14 6:15:41 AM,C,14.175
9/22/14 7:22:21 AM,C,14.175
9/22/14 8:29:01 AM,C,14.175
9/22/14 9:35:41 AM,C,14.677
9/22/14 10:42:21 AM,C,13.674
9/22/14 11:49:01 AM,C,13.674
9/22/14 12:55:41 PM,C,13.172
9/22/14 2:02:21 PM,C,14.175
9/22/14 3:09:01 PM,C,15.679
9/22/14 4:15:41 PM,C,16.682
9/22/14 5:22:21 PM,C,15.178
9/22/14 6:29:01 PM,C,15.178
9/22/14 7:35:41 PM,C,14.175
9/22/14 8:42:21 PM,C,13.674
9/22/14 9:49:01 PM,C,13.674
9/22/14 10:55:41 PM,C,13.172
9/23/14 12:02:21 AM,C,12.671
9/23/14 1:09:01 AM,C,12.671
9/23/14 2:15:41 AM,C,12.671
9/23/14 3:22:21 AM,C,12.671
9/23/14 4:29:01 AM,C,12.671
9/23/14 5:35:41 AM,C,14.175
9/23/14 6:42:21 AM,C,12.671
9/23/14 7:49:01 AM,C,13.674
9/23/14 8:55:41 AM,C,14.677
9/23/14 10:02:21 AM,C,14.677
9/23/14 11:09:01 AM,C,17.183
9/23/14 12:15:41 PM,C,17.183
9/23/14 1:22:21 PM,C,17.684
9/23/14 2:29:01 PM,C,20.689
9/23/14 3:35:41 PM,C,18.686
9/23/14 4:42:21 PM,C,19.187
9/23/14 5:49:01 PM,C,19.187
9/23/14 6:55:41 PM,C,19.187
9/23/14 8:02:21 PM,C,15.679
9/23/14 9:09:01 PM,C,15.178
9/23/14 10:15:41 PM,C,14.677
9/23/14 11:22:21 PM,C,15.178
9/24/14 12:29:01 AM,C,14.677
9/24/14 1:35:41 AM,C,15.178
9/24/14 2:42:21 AM,C,15.178
9/24/14 3:49:01 AM,C,15.178
9/24/14 4:55:41 AM,C,15.178
9/24/14 6:02:21 AM,C,15.178
9/24/14 7:09:01 AM,C,15.178
9/24/14 8:15:41 AM,C,14.677
9/24/14 9:22:21 AM,C,19.687
9/24/14 10:29:01 AM,C,17.684
9/24/14 11:35:41 AM,C,17.684
9/24/14 12:42:21 PM,C,18.185
9/24/14 1:49:01 PM,C,18.185
9/24/14 2:55:41 PM,C,18.686
9/24/14 4:02:21 PM,C,17.684
9/24/14 5:09:01 PM,C,19.687
9/24/14 6:15:41 PM,C,16.682
9/24/14 7:22:21 PM,C,15.679
9/24/14 8:29:01 PM,C,14.175
9/24/14 9:35:41 PM,C,14.677
9/24/14 10:42:21 PM,C,12.169
9/24/14 11:49:01 PM,C,11.166
9/25/14 12:55:41 AM,C,13.674
9/25/14 2:02:21 AM,C,11.667
9/25/14 3:09:01 AM,C,12.169
9/25/14 4:15:41 AM,C,13.172
9/25/14 5:22:21 AM,C,11.166
9/25/14 6:29:01 AM,C,11.667
9/25/14 7:35:41 AM,C,12.671
9/25/14 8:42:21 AM,C,12.671
9/25/14 9:49:01 AM,C,17.183
9/25/14 10:55:41 AM,C,17.684
9/25/14 12:02:21 PM,C,15.679
9/25/14 1:09:01 PM,C,17.183
9/25/14 2:15:41 PM,C,18.185
9/25/14 3:22:21 PM,C,17.684
9/25/14 4:29:01 PM,C,18.185
9/25/14 5:35:41 PM,C,17.183
9/25/14 6:42:21 PM,C,15.679
9/25/14 7:49:01 PM,C,13.172
9/25/14 8:55:41 PM,C,12.671
9/25/14 10:02:21 PM,C,11.667
9/25/14 11:09:01 PM,C,11.667
9/26/14 12:15:41 AM,C,11.667
9/26/14 1:22:21 AM,C,11.166
9/26/14 2:29:01 AM,C,11.166
9/26/14 3:35:41 AM,C,10.664
9/26/14 4:42:21 AM,C,10.664
9/26/14 5:49:01 AM,C,10.664
9/26/14 6:55:41 AM,C,10.162
9/26/14 8:02:21 AM,C,10.664
9/26/14 9:09:01 AM,C,12.169
9/26/14 10:15:41 AM,C,12.671
9/26/14 11:22:21 AM,C,15.679
9/26/14 12:29:01 PM,C,16.181
9/26/14 1:35:41 PM,C,17.684
9/26/14 2:42:21 PM,C,16.682
9/26/14 3:49:01 PM,C,16.682
9/26/14 4:55:41 PM,C,16.682
9/26/14 6:02:21 PM,C,15.679
9/26/14 7:09:01 PM,C,13.674
9/26/14 8:15:41 PM,C,11.166
9/26/14 9:22:21 PM,C,10.664
9/26/14 10:29:01 PM,C,10.162
9/26/14 11:35:41 PM,C,10.162
9/27/14 12:42:21 AM,C,10.162
9/27/14 1:49:01 AM,C,10.664
9/27/14 2:55:41 AM,C,9.66
9/27/14 4:02:21 AM,C,10.162
9/27/14 5:09:01 AM,C,10.664
9/27/14 6:15:41 AM,C,10.162
9/27/14 7:22:21 AM,C,9.66
9/27/14 8:29:01 AM,C,10.664
9/27/14 9:35:41 AM,C,16.181
9/27/14 10:42:21 AM,C,14.677
9/27/14 11:49:01 AM,C,14.677
9/27/14 12:55:41 PM,C,14.677
9/27/14 2:02:21 PM,C,15.178
9/27/14 3:09:01 PM,C,15.178
9/27/14 4:15:41 PM,C,15.679
9/27/14 5:22:21 PM,C,15.679
9/27/14 6:29:01 PM,C,13.674
9/27/14 7:35:41 PM,C,13.674
9/27/14 8:42:21 PM,C,12.169
9/27/14 9:49:01 PM,C,12.169
9/27/14 10:55:41 PM,C,12.169
9/28/14 12:02:21 AM,C,12.169
9/28/14 1:09:01 AM,C,11.667
9/28/14 2:15:41 AM,C,11.667
9/28/14 3:22:21 AM,C,11.166
9/28/14 4:29:01 AM,C,11.166
9/28/14 5:35:41 AM,C,11.166
9/28/14 6:42:21 AM,C,11.166
9/28/14 7:49:01 AM,C,11.166
9/28/14 8:55:41 AM,C,12.671
9/28/14 10:02:21 AM,C,17.183
9/28/14 11:09:01 AM,C,18.686
9/28/14 12:15:41 PM,C,16.181
9/28/14 1:22:21 PM,C,18.686
9/28/14 2:29:01 PM,C,18.185
9/28/14 3:35:41 PM,C,20.689
9/28/14 4:42:21 PM,C,19.687
9/28/14 5:49:01 PM,C,19.187
9/28/14 6:55:41 PM,C,18.185
9/28/14 8:02:21 PM,C,14.175
9/28/14 9:09:01 PM,C,13.674
9/28/14 10:15:41 PM,C,13.172
9/28/14 11:22:21 PM,C,12.671
9/29/14 12:29:01 AM,C,12.671
9/29/14 1:35:41 AM,C,14.175
9/29/14 2:42:21 AM,C,14.175
9/29/14 3:49:01 AM,C,13.674
9/29/14 4:55:41 AM,C,13.674
9/29/14 6:02:21 AM,C,13.674
9/29/14 7:09:01 AM,C,13.674
9/29/14 8:15:41 AM,C,14.175
9/29/14 9:22:21 AM,C,16.682
9/29/14 10:29:01 AM,C,19.687
9/29/14 11:35:41 AM,C,19.687
9/29/14 12:42:21 PM,C,22.691
9/29/14 1:49:01 PM,C,20.689
9/29/14 2:55:41 PM,C,21.69
9/29/14 4:02:21 PM,C,22.19
9/29/14 5:09:01 PM,C,21.189
9/29/14 6:15:41 PM,C,20.689
9/29/14 7:22:21 PM,C,17.684
9/29/14 8:29:01 PM,C,16.181
9/29/14 9:35:41 PM,C,15.679
9/29/14 10:42:21 PM,C,15.178
9/29/14 11:49:01 PM,C,15.679
9/30/14 12:55:41 AM,C,17.183
9/30/14 2:02:21 AM,C,16.682
9/30/14 3:09:01 AM,C,16.181
9/30/14 4:15:41 AM,C,15.178
9/30/14 5:22:21 AM,C,15.178
9/30/14 6:29:01 AM,C,14.677
9/30/14 7:35:41 AM,C,14.175
9/30/14 8:42:21 AM,C,14.677
9/30/14 9:49:01 AM,C,17.684
9/30/14 10:55:41 AM,C,16.682
9/30/14 12:02:21 PM,C,16.181
9/30/14 1:09:01 PM,C,17.684
9/30/14 2:15:41 PM,C,19.187
9/30/14 3:22:21 PM,C,18.686
9/30/14 4:29:01 PM,C,19.687
9/30/14 5:35:41 PM,C,19.187
9/30/14 6:42:21 PM,C,19.187
9/30/14 7:49:01 PM,C,17.684
9/30/14 8:55:41 PM,C,16.682
9/30/14 10:02:21 PM,C,16.682
9/30/14 11:09:01 PM,C,15.679
10/1/14 12:15:41 AM,C,15.679
10/1/14 1:22:21 AM,C,16.181
10/1/14 2:29:01 AM,C,16.181
10/1/14 3:35:41 AM,C,15.679
10/1/14 4:42:21 AM,C,15.679
10/1/14 5:49:01 AM,C,15.178
10/1/14 6:55:41 AM,C,15.178
10/1/14 8:02:21 AM,C,14.677
10/1/14 9:09:01 AM,C,14.175
10/1/14 10:15:41 AM,C,15.679
10/1/14 11:22:21 AM,C,15.679
10/1/14 12:29:01 PM,C,15.679
10/1/14 1:35:41 PM,C,19.187
10/1/14 2:42:21 PM,C,17.684
10/1/14 3:49:01 PM,C,18.686
10/1/14 4:55:41 PM,C,19.187
10/1/14 6:02:21 PM,C,18.686
10/1/14 7:09:01 PM,C,18.185
10/1/14 8:15:41 PM,C,16.682
10/1/14 9:22:21 PM,C,16.682
10/1/14 10:29:01 PM,C,16.682
10/1/14 11:35:41 PM,C,16.682
10/2/14 12:42:21 AM,C,16.181
10/2/14 1:49:01 AM,C,16.181
10/2/14 2:55:41 AM,C,15.679
10/2/14 4:02:21 AM,C,14.677
10/2/14 5:09:01 AM,C,14.175
10/2/14 6:15:41 AM,C,13.674
10/2/14 7:22:21 AM,C,13.172
10/2/14 8:29:01 AM,C,12.671
10/2/14 9:35:41 AM,C,15.679
10/2/14 10:42:21 AM,C,15.679
10/2/14 11:49:01 AM,C,16.682
10/2/14 12:55:41 PM,C,17.684
10/2/14 2:02:21 PM,C,19.187
10/2/14 3:09:01 PM,C,17.183
10/2/14 4:15:41 PM,C,18.185
10/2/14 5:22:21 PM,C,17.684
10/2/14 6:29:01 PM,C,17.183
10/2/14 7:35:41 PM,C,15.679
10/2/14 8:42:21 PM,C,14.175
10/2/14 9:49:01 PM,C,13.674
10/2/14 10:55:41 PM,C,14.175
10/3/14 12:02:21 AM,C,14.677
10/3/14 1:09:01 AM,C,13.674
10/3/14 2:15:41 AM,C,12.169
10/3/14 3:22:21 AM,C,15.178
10/3/14 4:29:01 AM,C,15.178
10/3/14 5:35:41 AM,C,13.674
10/3/14 6:42:21 AM,C,14.677
10/3/14 7:49:01 AM,C,13.172
10/3/14 8:55:41 AM,C,13.674
10/3/14 10:02:21 AM,C,18.185
10/3/14 11:09:01 AM,C,18.185
10/3/14 12:15:41 PM,C,18.686
10/3/14 1:22:21 PM,C,21.189
10/3/14 2:29:01 PM,C,19.687
10/3/14 3:35:41 PM,C,19.687
10/3/14 4:42:21 PM,C,19.687
10/3/14 5:49:01 PM,C,18.686
10/3/14 6:55:41 PM,C,17.684
10/3/14 8:02:21 PM,C,13.172
10/3/14 9:09:01 PM,C,12.671
10/3/14 10:15:41 PM,C,13.172
10/3/14 11:22:21 PM,C,12.169
10/4/14 12:29:01 AM,C,11.667
10/4/14 1:35:41 AM,C,11.166
10/4/14 2:42:21 AM,C,12.169
10/4/14 3:49:01 AM,C,12.671
10/4/14 4:55:41 AM,C,14.677
10/4/14 6:02:21 AM,C,14.677
10/4/14 7:09:01 AM,C,14.175
10/4/14 8:15:41 AM,C,15.178
10/4/14 9:22:21 AM,C,15.679
10/4/14 10:29:01 AM,C,16.181
10/4/14 11:35:41 AM,C,16.181
10/4/14 12:42:21 PM,C,17.684
10/4/14 1:49:01 PM,C,18.185
10/4/14 2:55:41 PM,C,18.185
10/4/14 4:02:21 PM,C,18.686
10/4/14 5:09:01 PM,C,19.687
10/4/14 6:15:41 PM,C,20.188
10/4/14 7:22:21 PM,C,18.185
10/4/14 8:29:01 PM,C,17.684
10/4/14 9:35:41 PM,C,17.183
10/4/14 10:42:21 PM,C,17.183
10/4/14 11:49:01 PM,C,17.183
10/5/14 12:55:41 AM,C,16.682
10/5/14 2:02:21 AM,C,17.183
10/5/14 3:09:01 AM,C,17.183
10/5/14 4:15:41 AM,C,15.679
10/5/14 5:22:21 AM,C,15.178
10/5/14 6:29:01 AM,C,14.175
10/5/14 7:35:41 AM,C,13.674
10/5/14 8:42:21 AM,C,13.172
10/5/14 9:49:01 AM,C,16.682
10/5/14 10:55:41 AM,C,16.682
10/5/14 12:02:21 PM,C,16.181
10/5/14 1:09:01 PM,C,17.684
10/5/14 2:15:41 PM,C,18.686
10/5/14 3:22:21 PM,C,19.187
10/5/14 4:29:01 PM,C,19.187
10/5/14 5:35:41 PM,C,19.187
10/5/14 6:42:21 PM,C,19.187
10/5/14 7:49:01 PM,C,16.682
10/5/14 8:55:41 PM,C,16.682
10/5/14 10:02:21 PM,C,16.181
10/5/14 11:09:01 PM,C,15.679
10/6/14 12:15:41 AM,C,16.682
10/6/14 1:22:21 AM,C,16.682
10/6/14 2:29:01 AM,C,16.682
10/6/14 3:35:41 AM,C,16.682
10/6/14 4:42:21 AM,C,16.682
10/6/14 5:49:01 AM,C,16.682
10/6/14 6:55:41 AM,C,15.679
10/6/14 8:02:21 AM,C,16.682
10/6/14 9:09:01 AM,C,16.682
10/6/14 10:15:41 AM,C,20.188
10/6/14 11:22:21 AM,C,19.187
10/6/14 12:29:01 PM,C,19.687
10/6/14 1:35:41 PM,C,21.69
10/6/14 2:42:21 PM,C,20.188
10/6/14 3:49:01 PM,C,19.687
10/6/14 4:55:41 PM,C,20.188
10/6/14 6:02:21 PM,C,20.188
10/6/14 7:09:01 PM,C,18.686
10/6/14 8:15:41 PM,C,17.183
10/6/14 9:22:21 PM,C,17.183
10/6/14 10:29:01 PM,C,16.682
10/6/14 11:35:41 PM,C,16.682
10/7/14 12:42:21 AM,C,16.181
10/7/14 1:49:01 AM,C,15.679
10/7/14 2:55:41 AM,C,16.181
10/7/14 4:02:21 AM,C,16.682
10/7/14 5:09:01 AM,C,17.183
10/7/14 6:15:41 AM,C,17.183
10/7/14 7:22:21 AM,C,16.682
10/7/14 8:29:01 AM,C,16.181
10/7/14 9:35:41 AM,C,16.682
10/7/14 10:42:21 AM,C,18.686
10/7/14 11:49:01 AM,C,19.187
10/7/14 12:55:41 PM,C,20.689
10/7/14 2:02:21 PM,C,21.69
10/7/14 3:09:01 PM,C,20.188
10/7/14 4:15:41 PM,C,21.189
10/7/14 5:22:21 PM,C,20.689
10/7/14 6:29:01 PM,C,19.687
10/7/14 7:35:41 PM,C,19.187
10/7/14 8:42:21 PM,C,18.185
10/7/14 9:49:01 PM,C,17.183
10/7/14 10:55:41 PM,C,16.682
10/8/14 12:02:21 AM,C,16.682
10/8/14 1:09:01 AM,C,17.183
10/8/14 2:15:41 AM,C,17.183
10/8/14 3:22:21 AM,C,17.183
10/8/14 4:29:01 AM,C,17.183
10/8/14 5:35:41 AM,C,16.682
10/8/14 6:42:21 AM,C,17.183
10/8/14 7:49:01 AM,C,17.183
10/8/14 8:55:41 AM,C,17.183
10/8/14 10:02:21 AM,C,22.691
10/8/14 11:09:01 AM,C,20.689
10/8/14 12:15:41 PM,C,21.189
10/8/14 1:22:21 PM,C,24.691
10/8/14 2:29:01 PM,C,22.691
10/8/14 3:35:41 PM,C,23.191
10/8/14 4:42:21 PM,C,22.691
10/8/14 5:49:01 PM,C,22.691
10/8/14 6:55:41 PM,C,21.69
10/8/14 8:02:21 PM,C,19.187
10/8/14 9:09:01 PM,C,17.684
10/8/14 10:15:41 PM,C,17.684
10/8/14 11:22:21 PM,C,17.183
10/9/14 12:29:01 AM,C,17.183
10/9/14 1:35:41 AM,C,17.183
10/9/14 2:42:21 AM,C,18.686
10/9/14 3:49:01 AM,C,18.185
10/9/14 4:55:41 AM,C,16.682
10/9/14 6:02:21 AM,C,15.679
10/9/14 7:09:01 AM,C,15.178
10/9/14 8:15:41 AM,C,15.178
10/9/14 9:22:21 AM,C,15.178
10/9/14 10:29:01 AM,C,16.181
10/9/14 11:35:41 AM,C,15.679
10/9/14 12:42:21 PM,C,17.684
10/9/14 1:49:01 PM,C,19.187
10/9/14 2:55:41 PM,C,18.185
10/9/14 4:02:21 PM,C,19.187
10/9/14 5:09:01 PM,C,19.187
10/9/14 6:15:41 PM,C,18.185
10/9/14 7:22:21 PM,C,17.684
10/9/14 8:29:01 PM,C,16.682
10/9/14 9:35:41 PM,C,16.682
10/9/14 10:42:21 PM,C,13.172
10/9/14 11:49:01 PM,C,15.679
10/10/14 12:55:41 AM,C,15.178
10/10/14 2:02:21 AM,C,15.178
10/10/14 3:09:01 AM,C,14.175
10/10/14 4:15:41 AM,C,13.674
10/10/14 5:22:21 AM,C,13.172
10/10/14 6:29:01 AM,C,12.671
10/10/14 7:35:41 AM,C,12.671
10/10/14 8:42:21 AM,C,12.169
10/10/14 9:49:01 AM,C,12.671
10/10/14 10:55:41 AM,C,14.677
10/10/14 12:02:21 PM,C,14.677
10/10/14 1:09:01 PM,C,16.181
10/10/14 2:15:41 PM,C,16.181
10/10/14 3:22:21 PM,C,15.679
10/10/14 4:29:01 PM,C,17.684
10/10/14 5:35:41 PM,C,17.684
10/10/14 6:42:21 PM,C,16.682
10/10/14 7:49:01 PM,C,12.671
10/10/14 8:55:41 PM,C,11.166
10/10/14 10:02:21 PM,C,9.158
10/10/14 11:09:01 PM,C,8.656
10/11/14 12:15:41 AM,C,8.656
10/11/14 1:22:21 AM,C,8.153
10/11/14 2:29:01 AM,C,8.153
10/11/14 3:35:41 AM,C,7.149
10/11/14 4:42:21 AM,C,6.646
10/11/14 5:49:01 AM,C,6.646
10/11/14 6:55:41 AM,C,6.646
10/11/14 8:02:21 AM,C,6.646
10/11/14 9:09:01 AM,C,7.651
10/11/14 10:15:41 AM,C,12.671
10/11/14 11:22:21 AM,C,11.667
10/11/14 12:29:01 PM,C,12.671
10/11/14 1:35:41 PM,C,14.677
10/11/14 2:42:21 PM,C,15.178
10/11/14 3:49:01 PM,C,14.175
10/11/14 4:55:41 PM,C,15.178
10/11/14 6:02:21 PM,C,14.677
10/11/14 7:09:01 PM,C,12.671
10/11/14 8:15:41 PM,C,12.671
10/11/14 9:22:21 PM,C,12.671
10/11/14 10:29:01 PM,C,13.172
10/11/14 11:35:41 PM,C,12.671
10/12/14 12:42:21 AM,C,12.671
10/12/14 1:49:01 AM,C,12.671
10/12/14 2:55:41 AM,C,12.169
10/12/14 4:02:21 AM,C,12.671
10/12/14 5:09:01 AM,C,12.671
10/12/14 6:15:41 AM,C,11.667
10/12/14 7:22:21 AM,C,11.667
10/12/14 8:29:01 AM,C,11.667
10/12/14 9:35:41 AM,C,12.169
10/12/14 10:42:21 AM,C,12.671
10/12/14 11:49:01 AM,C,13.172
10/12/14 12:55:41 PM,C,14.677
10/12/14 2:02:21 PM,C,16.181
10/12/14 3:09:01 PM,C,16.682
10/12/14 4:15:41 PM,C,16.682
10/12/14 5:22:21 PM,C,17.183
10/12/14 6:29:01 PM,C,17.183
10/12/14 7:35:41 PM,C,16.181
10/12/14 8:42:21 PM,C,15.679
10/12/14 9:49:01 PM,C,15.178
10/12/14 10:55:41 PM,C,15.178
10/13/14 12:02:21 AM,C,13.674
10/13/14 1:09:01 AM,C,11.667
10/13/14 2:15:41 AM,C,9.66
10/13/14 3:22:21 AM,C,5.641
10/13/14 4:29:01 AM,C,4.133
10/13/14 5:35:41 AM,C,4.133
10/13/14 6:42:21 AM,C,4.133
10/13/14 7:49:01 AM,C,4.636
10/13/14 8:55:41 AM,C,4.133
10/13/14 10:02:21 AM,C,8.153
10/13/14 11:09:01 AM,C,7.149
10/13/14 12:15:41 PM,C,7.651
10/13/14 1:22:21 PM,C,10.162
10/13/14 2:29:01 PM,C,10.162
10/13/14 3:35:41 PM,C,10.162
10/13/14 4:42:21 PM,C,10.664
10/13/14 5:49:01 PM,C,10.664
10/13/14 6:55:41 PM,C,10.664
10/13/14 8:02:21 PM,C,9.66
10/13/14 9:09:01 PM,C,9.66
10/13/14 10:15:41 PM,C,9.66
10/13/14 11:22:21 PM,C,9.66
10/14/14 12:29:01 AM,C,10.162
10/14/14 1:35:41 AM,C,8.656
10/14/14 2:42:21 AM,C,9.66
10/14/14 3:49:01 AM,C,9.66
10/14/14 4:55:41 AM,C,9.158
10/14/14 6:02:21 AM,C,9.158
10/14/14 7:09:01 AM,C,9.66
10/14/14 8:15:41 AM,C,8.656
10/14/14 9:22:21 AM,C,9.66
10/14/14 10:29:01 AM,C,12.169
10/14/14 11:35:41 AM,C,11.667
10/14/14 12:42:21 PM,C,14.175
10/14/14 1:49:01 PM,C,16.181
