1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC000000133BF041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 04 19:33:01 CDT 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Apr 04 19:33:01 CDT 2014
Total Mission Samples:  8192
Total Device Samples:  77923
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/14 7:33:01 PM,C,18.166
4/4/14 8:33:01 PM,C,12.651
4/4/14 9:33:01 PM,C,11.647
4/4/14 10:33:01 PM,C,10.643
4/4/14 11:33:01 PM,C,10.141
4/5/14 12:33:01 AM,C,10.141
4/5/14 1:33:01 AM,C,12.149
4/5/14 2:33:01 AM,C,11.647
4/5/14 3:33:01 AM,C,12.149
4/5/14 4:33:01 AM,C,10.141
4/5/14 5:33:01 AM,C,11.145
4/5/14 6:33:01 AM,C,11.647
4/5/14 7:33:01 AM,C,10.643
4/5/14 8:33:01 AM,C,12.149
4/5/14 9:33:01 AM,C,13.654
4/5/14 10:33:01 AM,C,15.159
4/5/14 11:33:01 AM,C,17.665
4/5/14 12:33:01 PM,C,19.669
4/5/14 1:33:01 PM,C,21.672
4/5/14 2:33:01 PM,C,22.172
4/5/14 3:33:01 PM,C,21.672
4/5/14 4:33:01 PM,C,19.669
4/5/14 5:33:01 PM,C,21.171
4/5/14 6:33:01 PM,C,18.667
4/5/14 7:33:01 PM,C,18.166
4/5/14 8:33:01 PM,C,15.159
4/5/14 9:33:01 PM,C,12.651
4/5/14 10:33:01 PM,C,10.643
4/5/14 11:33:01 PM,C,9.639
4/6/14 12:33:01 AM,C,8.131
4/6/14 1:33:01 AM,C,6.624
4/6/14 2:33:01 AM,C,8.131
4/6/14 3:33:01 AM,C,8.634
4/6/14 4:33:01 AM,C,8.634
4/6/14 5:33:01 AM,C,8.634
4/6/14 6:33:01 AM,C,7.629
4/6/14 7:33:01 AM,C,7.126
4/6/14 8:33:01 AM,C,9.136
4/6/14 9:33:01 AM,C,11.647
4/6/14 10:33:01 AM,C,13.654
4/6/14 11:33:01 AM,C,14.657
4/6/14 12:33:01 PM,C,15.66
4/6/14 1:33:01 PM,C,17.164
4/6/14 2:33:01 PM,C,17.665
4/6/14 3:33:01 PM,C,14.156
4/6/14 4:33:01 PM,C,14.657
4/6/14 5:33:01 PM,C,17.164
4/6/14 6:33:01 PM,C,17.665
4/6/14 7:33:01 PM,C,13.654
4/6/14 8:33:01 PM,C,12.149
4/6/14 9:33:01 PM,C,11.145
4/6/14 10:33:01 PM,C,10.643
4/6/14 11:33:01 PM,C,9.136
4/7/14 12:33:01 AM,C,10.643
4/7/14 1:33:01 AM,C,10.141
4/7/14 2:33:01 AM,C,10.643
4/7/14 3:33:01 AM,C,10.141
4/7/14 4:33:01 AM,C,9.639
4/7/14 5:33:01 AM,C,8.131
4/7/14 6:33:01 AM,C,6.624
4/7/14 7:33:01 AM,C,7.126
4/7/14 8:33:01 AM,C,9.136
4/7/14 9:33:01 AM,C,17.164
4/7/14 10:33:01 AM,C,16.663
4/7/14 11:33:01 AM,C,15.66
4/7/14 12:33:01 PM,C,14.657
4/7/14 1:33:01 PM,C,15.159
4/7/14 2:33:01 PM,C,12.651
4/7/14 3:33:01 PM,C,16.162
4/7/14 4:33:01 PM,C,17.665
4/7/14 5:33:01 PM,C,15.159
4/7/14 6:33:01 PM,C,16.663
4/7/14 7:33:01 PM,C,13.153
4/7/14 8:33:01 PM,C,10.141
4/7/14 9:33:01 PM,C,7.126
4/7/14 10:33:01 PM,C,4.109
4/7/14 11:33:01 PM,C,2.097
4/8/14 12:33:01 AM,C,0.586
4/8/14 1:33:01 AM,C,0.586
4/8/14 2:33:01 AM,C,-0.421
4/8/14 3:33:01 AM,C,-1.428
4/8/14 4:33:01 AM,C,-0.925
4/8/14 5:33:01 AM,C,-0.925
4/8/14 6:33:01 AM,C,-1.428
4/8/14 7:33:01 AM,C,-0.925
4/8/14 8:33:01 AM,C,4.109
4/8/14 9:33:01 AM,C,16.162
4/8/14 10:33:01 AM,C,18.166
4/8/14 11:33:01 AM,C,20.671
4/8/14 12:33:01 PM,C,20.17
4/8/14 1:33:01 PM,C,21.171
4/8/14 2:33:01 PM,C,23.673
4/8/14 3:33:01 PM,C,29.172
4/8/14 4:33:01 PM,C,25.674
4/8/14 5:33:01 PM,C,24.174
4/8/14 6:33:01 PM,C,24.174
4/8/14 7:33:01 PM,C,19.669
4/8/14 8:33:01 PM,C,13.654
4/8/14 9:33:01 PM,C,10.141
4/8/14 10:33:01 PM,C,7.629
4/8/14 11:33:01 PM,C,6.121
4/9/14 12:33:01 AM,C,5.618
4/9/14 1:33:01 AM,C,4.612
4/9/14 2:33:01 AM,C,4.109
4/9/14 3:33:01 AM,C,5.115
4/9/14 4:33:01 AM,C,5.115
4/9/14 5:33:01 AM,C,6.121
4/9/14 6:33:01 AM,C,6.121
4/9/14 7:33:01 AM,C,4.612
4/9/14 8:33:01 AM,C,10.643
4/9/14 9:33:01 AM,C,25.674
4/9/14 10:33:01 AM,C,26.174
4/9/14 11:33:01 AM,C,26.174
4/9/14 12:33:01 PM,C,25.674
4/9/14 1:33:01 PM,C,26.174
4/9/14 2:33:01 PM,C,28.173
4/9/14 3:33:01 PM,C,35.16
4/9/14 4:33:01 PM,C,30.171
4/9/14 5:33:01 PM,C,28.672
4/9/14 6:33:01 PM,C,28.173
4/9/14 7:33:01 PM,C,24.174
4/9/14 8:33:01 PM,C,17.665
4/9/14 9:33:01 PM,C,13.654
4/9/14 10:33:01 PM,C,11.647
4/9/14 11:33:01 PM,C,9.639
4/10/14 12:33:01 AM,C,12.149
4/10/14 1:33:01 AM,C,14.156
4/10/14 2:33:01 AM,C,13.153
4/10/14 3:33:01 AM,C,12.651
4/10/14 4:33:01 AM,C,11.647
4/10/14 5:33:01 AM,C,12.149
4/10/14 6:33:01 AM,C,10.643
4/10/14 7:33:01 AM,C,12.651
4/10/14 8:33:01 AM,C,19.168
4/10/14 9:33:01 AM,C,23.173
4/10/14 10:33:01 AM,C,22.673
4/10/14 11:33:01 AM,C,24.674
4/10/14 12:33:01 PM,C,25.674
4/10/14 1:33:01 PM,C,24.674
4/10/14 2:33:01 PM,C,26.674
4/10/14 3:33:01 PM,C,26.174
4/10/14 4:33:01 PM,C,26.174
4/10/14 5:33:01 PM,C,27.173
4/10/14 6:33:01 PM,C,28.672
4/10/14 7:33:01 PM,C,24.174
4/10/14 8:33:01 PM,C,17.164
4/10/14 9:33:01 PM,C,14.657
4/10/14 10:33:01 PM,C,10.141
4/10/14 11:33:01 PM,C,7.126
4/11/14 12:33:01 AM,C,7.126
4/11/14 1:33:01 AM,C,5.618
4/11/14 2:33:01 AM,C,6.624
4/11/14 3:33:01 AM,C,6.121
4/11/14 4:33:01 AM,C,8.131
4/11/14 5:33:01 AM,C,7.126
4/11/14 6:33:01 AM,C,9.136
4/11/14 7:33:01 AM,C,11.145
4/11/14 8:33:01 AM,C,12.149
4/11/14 9:33:01 AM,C,15.159
4/11/14 10:33:01 AM,C,21.171
4/11/14 11:33:01 AM,C,26.174
4/11/14 12:33:01 PM,C,28.173
4/11/14 1:33:01 PM,C,28.173
4/11/14 2:33:01 PM,C,28.672
4/11/14 3:33:01 PM,C,27.673
4/11/14 4:33:01 PM,C,27.673
4/11/14 5:33:01 PM,C,26.174
4/11/14 6:33:01 PM,C,23.673
4/11/14 7:33:01 PM,C,22.172
4/11/14 8:33:01 PM,C,20.671
4/11/14 9:33:01 PM,C,18.667
4/11/14 10:33:01 PM,C,15.159
4/11/14 11:33:01 PM,C,13.153
4/12/14 12:33:01 AM,C,11.647
4/12/14 1:33:01 AM,C,10.643
4/12/14 2:33:01 AM,C,12.651
4/12/14 3:33:01 AM,C,14.657
4/12/14 4:33:01 AM,C,15.159
4/12/14 5:33:01 AM,C,12.651
4/12/14 6:33:01 AM,C,13.654
4/12/14 7:33:01 AM,C,11.145
4/12/14 8:33:01 AM,C,14.156
4/12/14 9:33:01 AM,C,22.172
4/12/14 10:33:01 AM,C,24.174
4/12/14 11:33:01 AM,C,24.174
4/12/14 12:33:01 PM,C,25.174
4/12/14 1:33:01 PM,C,25.174
4/12/14 2:33:01 PM,C,24.174
4/12/14 3:33:01 PM,C,24.674
4/12/14 4:33:01 PM,C,23.673
4/12/14 5:33:01 PM,C,24.674
4/12/14 6:33:01 PM,C,22.172
4/12/14 7:33:01 PM,C,20.671
4/12/14 8:33:01 PM,C,18.667
4/12/14 9:33:01 PM,C,17.164
4/12/14 10:33:01 PM,C,18.166
4/12/14 11:33:01 PM,C,17.164
4/13/14 12:33:01 AM,C,17.665
4/13/14 1:33:01 AM,C,17.665
4/13/14 2:33:01 AM,C,16.663
4/13/14 3:33:01 AM,C,17.164
4/13/14 4:33:01 AM,C,16.663
4/13/14 5:33:01 AM,C,15.159
4/13/14 6:33:01 AM,C,14.657
4/13/14 7:33:01 AM,C,15.159
4/13/14 8:33:01 AM,C,16.162
4/13/14 9:33:01 AM,C,20.671
4/13/14 10:33:01 AM,C,21.171
4/13/14 11:33:01 AM,C,21.672
4/13/14 12:33:01 PM,C,21.672
4/13/14 1:33:01 PM,C,21.672
4/13/14 2:33:01 PM,C,22.673
4/13/14 3:33:01 PM,C,26.174
4/13/14 4:33:01 PM,C,25.674
4/13/14 5:33:01 PM,C,24.674
4/13/14 6:33:01 PM,C,25.174
4/13/14 7:33:01 PM,C,22.172
4/13/14 8:33:01 PM,C,18.166
4/13/14 9:33:01 PM,C,17.665
4/13/14 10:33:01 PM,C,17.665
4/13/14 11:33:01 PM,C,17.665
4/14/14 12:33:01 AM,C,17.665
4/14/14 1:33:01 AM,C,17.164
4/14/14 2:33:01 AM,C,16.663
4/14/14 3:33:01 AM,C,16.663
4/14/14 4:33:01 AM,C,4.109
4/14/14 5:33:01 AM,C,1.593
4/14/14 6:33:01 AM,C,-0.421
4/14/14 7:33:01 AM,C,-0.421
4/14/14 8:33:01 AM,C,-0.925
4/14/14 9:33:01 AM,C,0.083
4/14/14 10:33:01 AM,C,2.6
4/14/14 11:33:01 AM,C,5.115
4/14/14 12:33:01 PM,C,5.618
4/14/14 1:33:01 PM,C,7.126
4/14/14 2:33:01 PM,C,9.136
4/14/14 3:33:01 PM,C,14.657
4/14/14 4:33:01 PM,C,10.643
4/14/14 5:33:01 PM,C,9.639
4/14/14 6:33:01 PM,C,12.651
4/14/14 7:33:01 PM,C,9.136
4/14/14 8:33:01 PM,C,2.6
4/14/14 9:33:01 PM,C,1.593
4/14/14 10:33:01 PM,C,1.09
4/14/14 11:33:01 PM,C,0.083
4/15/14 12:33:01 AM,C,-0.925
4/15/14 1:33:01 AM,C,-2.436
4/15/14 2:33:01 AM,C,-2.94
4/15/14 3:33:01 AM,C,-4.453
4/15/14 4:33:01 AM,C,-4.957
4/15/14 5:33:01 AM,C,-5.966
4/15/14 6:33:01 AM,C,-5.966
4/15/14 7:33:01 AM,C,-3.444
4/15/14 8:33:01 AM,C,4.109
4/15/14 9:33:01 AM,C,9.639
4/15/14 10:33:01 AM,C,13.153
4/15/14 11:33:01 AM,C,13.654
4/15/14 12:33:01 PM,C,13.654
4/15/14 1:33:01 PM,C,16.162
4/15/14 2:33:01 PM,C,18.166
4/15/14 3:33:01 PM,C,23.173
4/15/14 4:33:01 PM,C,20.671
4/15/14 5:33:01 PM,C,19.669
4/15/14 6:33:01 PM,C,23.673
4/15/14 7:33:01 PM,C,15.159
4/15/14 8:33:01 PM,C,11.647
4/15/14 9:33:01 PM,C,11.145
4/15/14 10:33:01 PM,C,11.145
4/15/14 11:33:01 PM,C,8.634
4/16/14 12:33:01 AM,C,8.634
4/16/14 1:33:01 AM,C,10.141
4/16/14 2:33:01 AM,C,9.639
4/16/14 3:33:01 AM,C,7.629
4/16/14 4:33:01 AM,C,7.126
4/16/14 5:33:01 AM,C,9.639
4/16/14 6:33:01 AM,C,8.634
4/16/14 7:33:01 AM,C,10.643
4/16/14 8:33:01 AM,C,16.162
4/16/14 9:33:01 AM,C,22.172
4/16/14 10:33:01 AM,C,22.172
4/16/14 11:33:01 AM,C,23.673
4/16/14 12:33:01 PM,C,23.673
4/16/14 1:33:01 PM,C,24.674
4/16/14 2:33:01 PM,C,25.674
4/16/14 3:33:01 PM,C,29.172
4/16/14 4:33:01 PM,C,28.173
4/16/14 5:33:01 PM,C,25.674
4/16/14 6:33:01 PM,C,28.672
4/16/14 7:33:01 PM,C,25.174
4/16/14 8:33:01 PM,C,17.665
4/16/14 9:33:01 PM,C,15.66
4/16/14 10:33:01 PM,C,13.654
4/16/14 11:33:01 PM,C,14.156
4/17/14 12:33:01 AM,C,14.156
4/17/14 1:33:01 AM,C,13.654
4/17/14 2:33:01 AM,C,16.663
4/17/14 3:33:01 AM,C,15.66
4/17/14 4:33:01 AM,C,14.657
4/17/14 5:33:01 AM,C,14.156
4/17/14 6:33:01 AM,C,13.654
4/17/14 7:33:01 AM,C,10.141
4/17/14 8:33:01 AM,C,13.153
4/17/14 9:33:01 AM,C,18.166
4/17/14 10:33:01 AM,C,18.166
4/17/14 11:33:01 AM,C,19.168
4/17/14 12:33:01 PM,C,19.168
4/17/14 1:33:01 PM,C,19.168
4/17/14 2:33:01 PM,C,20.671
4/17/14 3:33:01 PM,C,23.673
4/17/14 4:33:01 PM,C,21.672
4/17/14 5:33:01 PM,C,20.671
4/17/14 6:33:01 PM,C,23.173
4/17/14 7:33:01 PM,C,19.669
4/17/14 8:33:01 PM,C,14.657
4/17/14 9:33:01 PM,C,13.153
4/17/14 10:33:01 PM,C,11.145
4/17/14 11:33:01 PM,C,9.639
4/18/14 12:33:01 AM,C,9.136
4/18/14 1:33:01 AM,C,8.131
4/18/14 2:33:01 AM,C,9.639
4/18/14 3:33:01 AM,C,7.629
4/18/14 4:33:01 AM,C,9.639
4/18/14 5:33:01 AM,C,9.136
4/18/14 6:33:01 AM,C,6.624
4/18/14 7:33:01 AM,C,6.121
4/18/14 8:33:01 AM,C,9.639
4/18/14 9:33:01 AM,C,18.166
4/18/14 10:33:01 AM,C,19.669
4/18/14 11:33:01 AM,C,20.17
4/18/14 12:33:01 PM,C,19.669
4/18/14 1:33:01 PM,C,22.172
4/18/14 2:33:01 PM,C,23.673
4/18/14 3:33:01 PM,C,23.673
4/18/14 4:33:01 PM,C,24.674
4/18/14 5:33:01 PM,C,25.674
4/18/14 6:33:01 PM,C,27.673
4/18/14 7:33:01 PM,C,20.671
4/18/14 8:33:01 PM,C,17.665
4/18/14 9:33:01 PM,C,15.66
4/18/14 10:33:01 PM,C,14.657
4/18/14 11:33:01 PM,C,12.651
4/19/14 12:33:01 AM,C,14.657
4/19/14 1:33:01 AM,C,14.657
4/19/14 2:33:01 AM,C,14.156
4/19/14 3:33:01 AM,C,14.156
4/19/14 4:33:01 AM,C,12.651
4/19/14 5:33:01 AM,C,12.149
4/19/14 6:33:01 AM,C,11.647
4/19/14 7:33:01 AM,C,13.153
4/19/14 8:33:01 AM,C,13.153
4/19/14 9:33:01 AM,C,18.667
4/19/14 10:33:01 AM,C,17.164
4/19/14 11:33:01 AM,C,20.17
4/19/14 12:33:01 PM,C,21.171
4/19/14 1:33:01 PM,C,17.665
4/19/14 2:33:01 PM,C,23.673
4/19/14 3:33:01 PM,C,25.674
4/19/14 4:33:01 PM,C,18.667
4/19/14 5:33:01 PM,C,16.162
4/19/14 6:33:01 PM,C,10.141
4/19/14 7:33:01 PM,C,11.647
4/19/14 8:33:01 PM,C,11.145
4/19/14 9:33:01 PM,C,10.141
4/19/14 10:33:01 PM,C,10.643
4/19/14 11:33:01 PM,C,10.643
4/20/14 12:33:01 AM,C,10.643
4/20/14 1:33:01 AM,C,10.643
4/20/14 2:33:01 AM,C,10.643
4/20/14 3:33:01 AM,C,9.639
4/20/14 4:33:01 AM,C,8.131
4/20/14 5:33:01 AM,C,7.126
4/20/14 6:33:01 AM,C,6.624
4/20/14 7:33:01 AM,C,6.121
4/20/14 8:33:01 AM,C,10.141
4/20/14 9:33:01 AM,C,20.17
4/20/14 10:33:01 AM,C,20.17
4/20/14 11:33:01 AM,C,21.171
4/20/14 12:33:01 PM,C,19.669
4/20/14 1:33:01 PM,C,22.673
4/20/14 2:33:01 PM,C,24.674
4/20/14 3:33:01 PM,C,27.173
4/20/14 4:33:01 PM,C,25.674
4/20/14 5:33:01 PM,C,24.174
4/20/14 6:33:01 PM,C,26.174
4/20/14 7:33:01 PM,C,24.674
4/20/14 8:33:01 PM,C,17.164
4/20/14 9:33:01 PM,C,14.156
4/20/14 10:33:01 PM,C,11.647
4/20/14 11:33:01 PM,C,9.136
4/21/14 12:33:01 AM,C,8.634
4/21/14 1:33:01 AM,C,8.131
4/21/14 2:33:01 AM,C,7.629
4/21/14 3:33:01 AM,C,7.629
4/21/14 4:33:01 AM,C,6.624
4/21/14 5:33:01 AM,C,7.629
4/21/14 6:33:01 AM,C,7.629
4/21/14 7:33:01 AM,C,7.126
4/21/14 8:33:01 AM,C,13.153
4/21/14 9:33:01 AM,C,22.673
4/21/14 10:33:01 AM,C,22.673
4/21/14 11:33:01 AM,C,23.673
4/21/14 12:33:01 PM,C,24.174
4/21/14 1:33:01 PM,C,25.674
4/21/14 2:33:01 PM,C,27.173
4/21/14 3:33:01 PM,C,26.174
4/21/14 4:33:01 PM,C,22.673
4/21/14 5:33:01 PM,C,26.174
4/21/14 6:33:01 PM,C,31.169
4/21/14 7:33:01 PM,C,23.673
4/21/14 8:33:01 PM,C,19.168
4/21/14 9:33:01 PM,C,16.162
4/21/14 10:33:01 PM,C,12.651
4/21/14 11:33:01 PM,C,10.643
4/22/14 12:33:01 AM,C,9.639
4/22/14 1:33:01 AM,C,9.136
4/22/14 2:33:01 AM,C,8.131
4/22/14 3:33:01 AM,C,9.639
4/22/14 4:33:01 AM,C,11.647
4/22/14 5:33:01 AM,C,11.145
4/22/14 6:33:01 AM,C,10.141
4/22/14 7:33:01 AM,C,9.136
4/22/14 8:33:01 AM,C,13.654
4/22/14 9:33:01 AM,C,25.674
4/22/14 10:33:01 AM,C,24.174
4/22/14 11:33:01 AM,C,24.174
4/22/14 12:33:01 PM,C,24.674
4/22/14 1:33:01 PM,C,25.174
4/22/14 2:33:01 PM,C,24.174
4/22/14 3:33:01 PM,C,24.174
4/22/14 4:33:01 PM,C,28.173
4/22/14 5:33:01 PM,C,26.674
4/22/14 6:33:01 PM,C,22.673
4/22/14 7:33:01 PM,C,22.673
4/22/14 8:33:01 PM,C,20.17
4/22/14 9:33:01 PM,C,18.667
4/22/14 10:33:01 PM,C,18.166
4/22/14 11:33:01 PM,C,17.164
4/23/14 12:33:01 AM,C,16.663
4/23/14 1:33:01 AM,C,15.66
4/23/14 2:33:01 AM,C,16.162
4/23/14 3:33:01 AM,C,15.66
4/23/14 4:33:01 AM,C,15.66
4/23/14 5:33:01 AM,C,15.159
4/23/14 6:33:01 AM,C,15.159
4/23/14 7:33:01 AM,C,14.657
4/23/14 8:33:01 AM,C,18.166
4/23/14 9:33:01 AM,C,23.173
4/23/14 10:33:01 AM,C,22.673
4/23/14 11:33:01 AM,C,24.674
4/23/14 12:33:01 PM,C,25.174
4/23/14 1:33:01 PM,C,28.672
4/23/14 2:33:01 PM,C,28.672
4/23/14 3:33:01 PM,C,28.672
4/23/14 4:33:01 PM,C,28.173
4/23/14 5:33:01 PM,C,29.172
4/23/14 6:33:01 PM,C,26.174
4/23/14 7:33:01 PM,C,25.174
4/23/14 8:33:01 PM,C,21.672
4/23/14 9:33:01 PM,C,18.667
4/23/14 10:33:01 PM,C,18.166
4/23/14 11:33:01 PM,C,19.168
4/24/14 12:33:01 AM,C,17.665
4/24/14 1:33:01 AM,C,17.665
4/24/14 2:33:01 AM,C,17.665
4/24/14 3:33:01 AM,C,16.663
4/24/14 4:33:01 AM,C,15.66
4/24/14 5:33:01 AM,C,14.657
4/24/14 6:33:01 AM,C,12.149
4/24/14 7:33:01 AM,C,12.149
4/24/14 8:33:01 AM,C,17.164
4/24/14 9:33:01 AM,C,21.171
4/24/14 10:33:01 AM,C,21.171
4/24/14 11:33:01 AM,C,23.673
4/24/14 12:33:01 PM,C,22.172
4/24/14 1:33:01 PM,C,23.673
4/24/14 2:33:01 PM,C,25.174
4/24/14 3:33:01 PM,C,27.673
4/24/14 4:33:01 PM,C,28.173
4/24/14 5:33:01 PM,C,26.674
4/24/14 6:33:01 PM,C,30.171
4/24/14 7:33:01 PM,C,27.173
4/24/14 8:33:01 PM,C,17.665
4/24/14 9:33:01 PM,C,14.156
4/24/14 10:33:01 PM,C,12.651
4/24/14 11:33:01 PM,C,12.149
4/25/14 12:33:01 AM,C,10.643
4/25/14 1:33:01 AM,C,9.639
4/25/14 2:33:01 AM,C,9.136
4/25/14 3:33:01 AM,C,10.643
4/25/14 4:33:01 AM,C,11.145
4/25/14 5:33:01 AM,C,11.145
4/25/14 6:33:01 AM,C,10.643
4/25/14 7:33:01 AM,C,8.634
4/25/14 8:33:01 AM,C,15.159
4/25/14 9:33:01 AM,C,25.674
4/25/14 10:33:01 AM,C,25.174
4/25/14 11:33:01 AM,C,28.173
4/25/14 12:33:01 PM,C,27.673
4/25/14 1:33:01 PM,C,28.173
4/25/14 2:33:01 PM,C,30.67
4/25/14 3:33:01 PM,C,31.169
4/25/14 4:33:01 PM,C,31.169
4/25/14 5:33:01 PM,C,29.172
4/25/14 6:33:01 PM,C,32.666
4/25/14 7:33:01 PM,C,31.169
4/25/14 8:33:01 PM,C,21.672
4/25/14 9:33:01 PM,C,19.168
4/25/14 10:33:01 PM,C,19.669
4/25/14 11:33:01 PM,C,18.166
4/26/14 12:33:01 AM,C,18.667
4/26/14 1:33:01 AM,C,19.168
4/26/14 2:33:01 AM,C,17.665
4/26/14 3:33:01 AM,C,15.66
4/26/14 4:33:01 AM,C,13.153
4/26/14 5:33:01 AM,C,10.643
4/26/14 6:33:01 AM,C,10.643
4/26/14 7:33:01 AM,C,8.634
4/26/14 8:33:01 AM,C,16.162
4/26/14 9:33:01 AM,C,22.673
4/26/14 10:33:01 AM,C,22.673
4/26/14 11:33:01 AM,C,27.173
4/26/14 12:33:01 PM,C,25.174
4/26/14 1:33:01 PM,C,25.674
4/26/14 2:33:01 PM,C,28.173
4/26/14 3:33:01 PM,C,28.672
4/26/14 4:33:01 PM,C,28.173
4/26/14 5:33:01 PM,C,27.673
4/26/14 6:33:01 PM,C,29.172
4/26/14 7:33:01 PM,C,23.673
4/26/14 8:33:01 PM,C,21.171
4/26/14 9:33:01 PM,C,21.672
4/26/14 10:33:01 PM,C,20.671
4/26/14 11:33:01 PM,C,19.669
4/27/14 12:33:01 AM,C,18.667
4/27/14 1:33:01 AM,C,17.665
4/27/14 2:33:01 AM,C,16.663
4/27/14 3:33:01 AM,C,14.657
4/27/14 4:33:01 AM,C,10.141
4/27/14 5:33:01 AM,C,8.634
4/27/14 6:33:01 AM,C,7.126
4/27/14 7:33:01 AM,C,7.126
4/27/14 8:33:01 AM,C,10.643
4/27/14 9:33:01 AM,C,12.651
4/27/14 10:33:01 AM,C,13.654
4/27/14 11:33:01 AM,C,15.66
4/27/14 12:33:01 PM,C,16.162
4/27/14 1:33:01 PM,C,17.164
4/27/14 2:33:01 PM,C,18.667
4/27/14 3:33:01 PM,C,20.17
4/27/14 4:33:01 PM,C,21.672
4/27/14 5:33:01 PM,C,20.671
4/27/14 6:33:01 PM,C,22.673
4/27/14 7:33:01 PM,C,18.166
4/27/14 8:33:01 PM,C,16.663
4/27/14 9:33:01 PM,C,15.66
4/27/14 10:33:01 PM,C,14.657
4/27/14 11:33:01 PM,C,14.156
4/28/14 12:33:01 AM,C,13.153
4/28/14 1:33:01 AM,C,13.153
4/28/14 2:33:01 AM,C,12.651
4/28/14 3:33:01 AM,C,12.149
4/28/14 4:33:01 AM,C,11.647
4/28/14 5:33:01 AM,C,11.145
4/28/14 6:33:01 AM,C,11.647
4/28/14 7:33:01 AM,C,11.145
4/28/14 8:33:01 AM,C,14.657
4/28/14 9:33:01 AM,C,15.159
4/28/14 10:33:01 AM,C,16.663
4/28/14 11:33:01 AM,C,18.667
4/28/14 12:33:01 PM,C,20.17
4/28/14 1:33:01 PM,C,20.671
4/28/14 2:33:01 PM,C,22.673
4/28/14 3:33:01 PM,C,23.673
4/28/14 4:33:01 PM,C,24.174
4/28/14 5:33:01 PM,C,24.674
4/28/14 6:33:01 PM,C,25.674
4/28/14 7:33:01 PM,C,23.173
4/28/14 8:33:01 PM,C,19.168
4/28/14 9:33:01 PM,C,18.166
4/28/14 10:33:01 PM,C,17.665
4/28/14 11:33:01 PM,C,17.665
4/29/14 12:33:01 AM,C,16.663
4/29/14 1:33:01 AM,C,15.66
4/29/14 2:33:01 AM,C,14.657
4/29/14 3:33:01 AM,C,11.145
4/29/14 4:33:01 AM,C,9.136
4/29/14 5:33:01 AM,C,7.126
4/29/14 6:33:01 AM,C,6.624
4/29/14 7:33:01 AM,C,6.121
4/29/14 8:33:01 AM,C,13.654
4/29/14 9:33:01 AM,C,13.153
4/29/14 10:33:01 AM,C,13.654
4/29/14 11:33:01 AM,C,15.66
4/29/14 12:33:01 PM,C,17.164
4/29/14 1:33:01 PM,C,17.164
4/29/14 2:33:01 PM,C,18.667
4/29/14 3:33:01 PM,C,18.667
4/29/14 4:33:01 PM,C,23.673
4/29/14 5:33:01 PM,C,20.671
4/29/14 6:33:01 PM,C,25.174
4/29/14 7:33:01 PM,C,17.665
4/29/14 8:33:01 PM,C,11.647
4/29/14 9:33:01 PM,C,9.639
4/29/14 10:33:01 PM,C,9.136
4/29/14 11:33:01 PM,C,8.131
4/30/14 12:33:01 AM,C,5.115
4/30/14 1:33:01 AM,C,4.612
4/30/14 2:33:01 AM,C,6.121
4/30/14 3:33:01 AM,C,5.618
4/30/14 4:33:01 AM,C,5.115
4/30/14 5:33:01 AM,C,4.612
4/30/14 6:33:01 AM,C,4.612
4/30/14 7:33:01 AM,C,4.109
4/30/14 8:33:01 AM,C,6.624
4/30/14 9:33:01 AM,C,8.131
4/30/14 10:33:01 AM,C,8.634
4/30/14 11:33:01 AM,C,10.141
4/30/14 12:33:01 PM,C,11.647
4/30/14 1:33:01 PM,C,13.153
4/30/14 2:33:01 PM,C,14.657
4/30/14 3:33:01 PM,C,15.159
4/30/14 4:33:01 PM,C,17.665
4/30/14 5:33:01 PM,C,16.162
4/30/14 6:33:01 PM,C,16.162
4/30/14 7:33:01 PM,C,11.145
4/30/14 8:33:01 PM,C,9.639
4/30/14 9:33:01 PM,C,9.136
4/30/14 10:33:01 PM,C,9.136
4/30/14 11:33:01 PM,C,8.634
5/1/14 12:33:01 AM,C,8.634
5/1/14 1:33:01 AM,C,8.131
5/1/14 2:33:01 AM,C,7.629
5/1/14 3:33:01 AM,C,7.629
5/1/14 4:33:01 AM,C,7.629
5/1/14 5:33:01 AM,C,7.629
5/1/14 6:33:01 AM,C,7.126
5/1/14 7:33:01 AM,C,7.126
5/1/14 8:33:01 AM,C,7.629
5/1/14 9:33:01 AM,C,10.141
5/1/14 10:33:01 AM,C,11.647
5/1/14 11:33:01 AM,C,13.153
5/1/14 12:33:01 PM,C,12.651
5/1/14 1:33:01 PM,C,14.156
5/1/14 2:33:01 PM,C,13.654
5/1/14 3:33:01 PM,C,13.153
5/1/14 4:33:01 PM,C,12.149
5/1/14 5:33:01 PM,C,12.651
5/1/14 6:33:01 PM,C,13.654
5/1/14 7:33:01 PM,C,9.639
5/1/14 8:33:01 PM,C,7.629
