1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A300000014976D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat May 07 13:43:01 CDT 2011
Mission Sample Count:  3557
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 13:43:01 CDT 2011
Total Mission Samples:  3557
Total Device Samples:  18660
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 1:43:01 PM,C,28.643
5/7/11 2:13:01 PM,C,27.644
5/7/11 2:43:01 PM,C,29.143
5/7/11 3:13:01 PM,C,29.143
5/7/11 3:43:01 PM,C,29.642
5/7/11 4:13:01 PM,C,30.641
5/7/11 4:43:01 PM,C,33.138
5/7/11 5:13:01 PM,C,27.144
5/7/11 5:43:01 PM,C,26.144
5/7/11 6:13:01 PM,C,26.144
5/7/11 6:43:01 PM,C,25.145
5/7/11 7:13:01 PM,C,23.144
5/7/11 7:43:01 PM,C,22.143
5/7/11 8:13:01 PM,C,19.641
5/7/11 8:43:01 PM,C,18.139
5/7/11 9:13:01 PM,C,17.137
5/7/11 9:43:01 PM,C,16.636
5/7/11 10:13:01 PM,C,16.636
5/7/11 10:43:01 PM,C,16.135
5/7/11 11:13:01 PM,C,16.135
5/7/11 11:43:01 PM,C,16.135
5/8/11 12:13:01 AM,C,16.135
5/8/11 12:43:01 AM,C,15.634
5/8/11 1:13:01 AM,C,15.634
5/8/11 1:43:01 AM,C,15.634
5/8/11 2:13:01 AM,C,15.634
5/8/11 2:43:01 AM,C,15.133
5/8/11 3:13:01 AM,C,15.133
5/8/11 3:43:01 AM,C,14.632
5/8/11 4:13:01 AM,C,14.632
5/8/11 4:43:01 AM,C,16.636
5/8/11 5:13:01 AM,C,16.636
5/8/11 5:43:01 AM,C,15.634
5/8/11 6:13:01 AM,C,16.135
5/8/11 6:43:01 AM,C,15.634
5/8/11 7:13:01 AM,C,15.634
5/8/11 7:43:01 AM,C,14.131
5/8/11 8:13:01 AM,C,14.632
5/8/11 8:43:01 AM,C,14.632
5/8/11 9:13:01 AM,C,14.632
5/8/11 9:43:01 AM,C,18.139
5/8/11 10:13:01 AM,C,21.143
5/8/11 10:43:01 AM,C,22.644
5/8/11 11:13:01 AM,C,23.144
5/8/11 11:43:01 AM,C,23.644
5/8/11 12:13:01 PM,C,25.145
5/8/11 12:43:01 PM,C,25.145
5/8/11 1:13:01 PM,C,25.645
5/8/11 1:43:01 PM,C,26.644
5/8/11 2:13:01 PM,C,26.644
5/8/11 2:43:01 PM,C,29.143
5/8/11 3:13:01 PM,C,29.642
5/8/11 3:43:01 PM,C,30.142
5/8/11 4:13:01 PM,C,31.64
5/8/11 4:43:01 PM,C,34.635
5/8/11 5:13:01 PM,C,28.144
5/8/11 5:43:01 PM,C,28.643
5/8/11 6:13:01 PM,C,25.645
5/8/11 6:43:01 PM,C,25.145
5/8/11 7:13:01 PM,C,24.644
5/8/11 7:43:01 PM,C,23.144
5/8/11 8:13:01 PM,C,21.643
5/8/11 8:43:01 PM,C,18.64
5/8/11 9:13:01 PM,C,17.638
5/8/11 9:43:01 PM,C,17.137
5/8/11 10:13:01 PM,C,16.636
5/8/11 10:43:01 PM,C,16.636
5/8/11 11:13:01 PM,C,16.636
5/8/11 11:43:01 PM,C,16.636
5/9/11 12:13:01 AM,C,16.135
5/9/11 12:43:01 AM,C,15.634
5/9/11 1:13:01 AM,C,15.634
5/9/11 1:43:01 AM,C,15.634
5/9/11 2:13:01 AM,C,17.137
5/9/11 2:43:01 AM,C,15.634
5/9/11 3:13:01 AM,C,15.634
5/9/11 3:43:01 AM,C,15.133
5/9/11 4:13:01 AM,C,15.634
5/9/11 4:43:01 AM,C,17.638
5/9/11 5:13:01 AM,C,17.137
5/9/11 5:43:01 AM,C,16.636
5/9/11 6:13:01 AM,C,16.636
5/9/11 6:43:01 AM,C,15.634
5/9/11 7:13:01 AM,C,16.135
5/9/11 7:43:01 AM,C,16.636
5/9/11 8:13:01 AM,C,16.636
5/9/11 8:43:01 AM,C,16.636
5/9/11 9:13:01 AM,C,17.137
5/9/11 9:43:01 AM,C,17.638
5/9/11 10:13:01 AM,C,18.64
5/9/11 10:43:01 AM,C,22.143
5/9/11 11:13:01 AM,C,23.144
5/9/11 11:43:01 AM,C,22.644
5/9/11 12:13:01 PM,C,23.144
5/9/11 12:43:01 PM,C,24.644
5/9/11 1:13:01 PM,C,25.145
5/9/11 1:43:01 PM,C,26.144
5/9/11 2:13:01 PM,C,26.644
5/9/11 2:43:01 PM,C,28.144
5/9/11 3:13:01 PM,C,29.143
5/9/11 3:43:01 PM,C,28.643
5/9/11 4:13:01 PM,C,30.641
5/9/11 4:43:01 PM,C,26.644
5/9/11 5:13:01 PM,C,24.644
5/9/11 5:43:01 PM,C,24.644
5/9/11 6:13:01 PM,C,23.644
5/9/11 6:43:01 PM,C,24.144
5/9/11 7:13:01 PM,C,22.644
5/9/11 7:43:01 PM,C,21.643
5/9/11 8:13:01 PM,C,20.142
5/9/11 8:43:01 PM,C,18.64
5/9/11 9:13:01 PM,C,17.137
5/9/11 9:43:01 PM,C,16.135
5/9/11 10:13:01 PM,C,15.634
5/9/11 10:43:01 PM,C,16.135
5/9/11 11:13:01 PM,C,16.135
5/9/11 11:43:01 PM,C,16.135
5/10/11 12:13:01 AM,C,15.634
5/10/11 12:43:01 AM,C,16.135
5/10/11 1:13:01 AM,C,17.137
5/10/11 1:43:01 AM,C,18.139
5/10/11 2:13:01 AM,C,17.638
5/10/11 2:43:01 AM,C,17.638
5/10/11 3:13:01 AM,C,17.638
5/10/11 3:43:01 AM,C,17.137
5/10/11 4:13:01 AM,C,17.137
5/10/11 4:43:01 AM,C,17.137
5/10/11 5:13:01 AM,C,16.135
5/10/11 5:43:01 AM,C,16.135
5/10/11 6:13:01 AM,C,16.135
5/10/11 6:43:01 AM,C,16.135
5/10/11 7:13:01 AM,C,14.131
5/10/11 7:43:01 AM,C,14.632
5/10/11 8:13:01 AM,C,14.131
5/10/11 8:43:01 AM,C,14.131
5/10/11 9:13:01 AM,C,14.632
5/10/11 9:43:01 AM,C,16.636
5/10/11 10:13:01 AM,C,19.641
5/10/11 10:43:01 AM,C,22.644
5/10/11 11:13:01 AM,C,23.144
5/10/11 11:43:01 AM,C,23.144
5/10/11 12:13:01 PM,C,24.644
5/10/11 12:43:01 PM,C,24.644
5/10/11 1:13:01 PM,C,25.645
5/10/11 1:43:01 PM,C,27.144
5/10/11 2:13:01 PM,C,27.644
5/10/11 2:43:01 PM,C,28.643
5/10/11 3:13:01 PM,C,29.143
5/10/11 3:43:01 PM,C,30.142
5/10/11 4:13:01 PM,C,30.142
5/10/11 4:43:01 PM,C,31.64
5/10/11 5:13:01 PM,C,26.644
5/10/11 5:43:01 PM,C,25.145
5/10/11 6:13:01 PM,C,25.145
5/10/11 6:43:01 PM,C,24.144
5/10/11 7:13:01 PM,C,23.144
5/10/11 7:43:01 PM,C,21.143
5/10/11 8:13:01 PM,C,20.642
5/10/11 8:43:01 PM,C,19.641
5/10/11 9:13:01 PM,C,20.642
5/10/11 9:43:01 PM,C,20.142
5/10/11 10:13:01 PM,C,19.641
5/10/11 10:43:01 PM,C,19.14
5/10/11 11:13:01 PM,C,19.14
5/10/11 11:43:01 PM,C,18.139
5/11/11 12:13:01 AM,C,18.64
5/11/11 12:43:01 AM,C,18.139
5/11/11 1:13:01 AM,C,17.638
5/11/11 1:43:01 AM,C,17.137
5/11/11 2:13:01 AM,C,16.135
5/11/11 2:43:01 AM,C,15.133
5/11/11 3:13:01 AM,C,14.131
5/11/11 3:43:01 AM,C,12.125
5/11/11 4:13:01 AM,C,12.125
5/11/11 4:43:01 AM,C,11.122
5/11/11 5:13:01 AM,C,11.122
5/11/11 5:43:01 AM,C,10.62
5/11/11 6:13:01 AM,C,10.119
5/11/11 6:43:01 AM,C,9.617
5/11/11 7:13:01 AM,C,9.617
5/11/11 7:43:01 AM,C,9.115
5/11/11 8:13:01 AM,C,9.115
5/11/11 8:43:01 AM,C,9.115
5/11/11 9:13:01 AM,C,9.617
5/11/11 9:43:01 AM,C,10.119
5/11/11 10:13:01 AM,C,12.125
5/11/11 10:43:01 AM,C,14.131
5/11/11 11:13:01 AM,C,14.131
5/11/11 11:43:01 AM,C,15.133
5/11/11 12:13:01 PM,C,16.135
5/11/11 12:43:01 PM,C,17.137
5/11/11 1:13:01 PM,C,18.139
5/11/11 1:43:01 PM,C,19.14
5/11/11 2:13:01 PM,C,18.64
5/11/11 2:43:01 PM,C,19.641
5/11/11 3:13:01 PM,C,21.643
5/11/11 3:43:01 PM,C,21.143
5/11/11 4:13:01 PM,C,24.144
5/11/11 4:43:01 PM,C,23.144
5/11/11 5:13:01 PM,C,19.641
5/11/11 5:43:01 PM,C,19.641
5/11/11 6:13:01 PM,C,18.139
5/11/11 6:43:01 PM,C,18.64
5/11/11 7:13:01 PM,C,17.638
5/11/11 7:43:01 PM,C,16.636
5/11/11 8:13:01 PM,C,15.634
5/11/11 8:43:01 PM,C,14.131
5/11/11 9:13:01 PM,C,13.128
5/11/11 9:43:01 PM,C,13.128
5/11/11 10:13:01 PM,C,13.629
5/11/11 10:43:01 PM,C,12.125
5/11/11 11:13:01 PM,C,10.62
5/11/11 11:43:01 PM,C,10.62
5/12/11 12:13:01 AM,C,12.125
5/12/11 12:43:01 AM,C,13.629
5/12/11 1:13:01 AM,C,12.626
5/12/11 1:43:01 AM,C,12.626
5/12/11 2:13:01 AM,C,12.125
5/12/11 2:43:01 AM,C,12.626
5/12/11 3:13:01 AM,C,11.624
5/12/11 3:43:01 AM,C,11.122
5/12/11 4:13:01 AM,C,11.122
5/12/11 4:43:01 AM,C,10.62
