1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 5900000013C8FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat May 07 16:31:01 CDT 2011
Mission Sample Count:  7086
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 16:31:01 CDT 2011
Total Mission Samples:  7086
Total Device Samples:  15783
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 4:31:01 PM,C,30.192
5/7/11 4:46:01 PM,C,29.693
5/7/11 5:01:01 PM,C,29.193
5/7/11 5:16:01 PM,C,29.693
5/7/11 5:31:01 PM,C,29.193
5/7/11 5:46:01 PM,C,30.192
5/7/11 6:01:01 PM,C,29.693
5/7/11 6:16:01 PM,C,29.693
5/7/11 6:31:01 PM,C,30.692
5/7/11 6:46:01 PM,C,29.693
5/7/11 7:01:01 PM,C,29.693
5/7/11 7:16:01 PM,C,29.693
5/7/11 7:31:01 PM,C,29.193
5/7/11 7:46:01 PM,C,24.695
5/7/11 8:01:01 PM,C,22.194
5/7/11 8:16:01 PM,C,20.192
5/7/11 8:31:01 PM,C,19.191
5/7/11 8:46:01 PM,C,17.187
5/7/11 9:01:01 PM,C,16.185
5/7/11 9:16:01 PM,C,14.681
5/7/11 9:31:01 PM,C,13.678
5/7/11 9:46:01 PM,C,13.177
5/7/11 10:01:01 PM,C,13.177
5/7/11 10:16:01 PM,C,12.675
5/7/11 10:31:01 PM,C,13.177
5/7/11 10:46:01 PM,C,13.177
5/7/11 11:01:01 PM,C,13.177
5/7/11 11:16:01 PM,C,12.675
5/7/11 11:31:01 PM,C,12.675
5/7/11 11:46:01 PM,C,12.675
5/8/11 12:01:01 AM,C,12.675
5/8/11 12:16:01 AM,C,12.675
5/8/11 12:31:01 AM,C,12.174
5/8/11 12:46:01 AM,C,12.174
5/8/11 1:01:01 AM,C,12.174
5/8/11 1:16:01 AM,C,11.672
5/8/11 1:31:01 AM,C,13.177
5/8/11 1:46:01 AM,C,13.177
5/8/11 2:01:01 AM,C,13.678
5/8/11 2:16:01 AM,C,14.681
5/8/11 2:31:01 AM,C,17.688
5/8/11 2:46:01 AM,C,18.189
5/8/11 3:01:01 AM,C,17.187
5/8/11 3:16:01 AM,C,16.185
5/8/11 3:31:01 AM,C,20.192
5/8/11 3:46:01 AM,C,19.191
5/8/11 4:01:01 AM,C,17.187
5/8/11 4:16:01 AM,C,14.681
5/8/11 4:31:01 AM,C,14.18
5/8/11 4:46:01 AM,C,14.18
5/8/11 5:01:01 AM,C,14.18
5/8/11 5:16:01 AM,C,14.681
5/8/11 5:31:01 AM,C,13.177
5/8/11 5:46:01 AM,C,12.174
5/8/11 6:01:01 AM,C,11.17
5/8/11 6:16:01 AM,C,13.177
5/8/11 6:31:01 AM,C,13.678
5/8/11 6:46:01 AM,C,14.18
5/8/11 7:01:01 AM,C,13.678
5/8/11 7:16:01 AM,C,13.678
5/8/11 7:31:01 AM,C,14.18
5/8/11 7:46:01 AM,C,14.681
5/8/11 8:01:01 AM,C,18.69
5/8/11 8:16:01 AM,C,20.693
5/8/11 8:31:01 AM,C,21.694
5/8/11 8:46:01 AM,C,22.694
5/8/11 9:01:01 AM,C,26.195
5/8/11 9:16:01 AM,C,26.195
5/8/11 9:31:01 AM,C,25.695
5/8/11 9:46:01 AM,C,25.195
5/8/11 10:01:01 AM,C,26.195
5/8/11 10:16:01 AM,C,25.695
5/8/11 10:31:01 AM,C,26.695
5/8/11 10:46:01 AM,C,27.195
5/8/11 11:01:01 AM,C,28.194
5/8/11 11:16:01 AM,C,26.695
5/8/11 11:31:01 AM,C,26.695
5/8/11 11:46:01 AM,C,27.695
5/8/11 12:01:01 PM,C,27.695
5/8/11 12:16:01 PM,C,28.694
5/8/11 12:31:01 PM,C,30.192
5/8/11 12:46:01 PM,C,29.193
5/8/11 1:01:01 PM,C,29.693
5/8/11 1:16:01 PM,C,29.193
5/8/11 1:31:01 PM,C,29.693
5/8/11 1:46:01 PM,C,29.693
5/8/11 2:01:01 PM,C,29.193
5/8/11 2:16:01 PM,C,28.694
5/8/11 2:31:01 PM,C,29.693
5/8/11 2:46:01 PM,C,29.193
5/8/11 3:01:01 PM,C,29.193
5/8/11 3:16:01 PM,C,29.693
5/8/11 3:31:01 PM,C,31.191
5/8/11 3:46:01 PM,C,30.192
5/8/11 4:01:01 PM,C,30.192
5/8/11 4:16:01 PM,C,29.193
5/8/11 4:31:01 PM,C,30.192
5/8/11 4:46:01 PM,C,30.692
5/8/11 5:01:01 PM,C,29.693
5/8/11 5:16:01 PM,C,29.693
5/8/11 5:31:01 PM,C,29.193
5/8/11 5:46:01 PM,C,30.192
5/8/11 6:01:01 PM,C,29.693
5/8/11 6:16:01 PM,C,27.695
5/8/11 6:31:01 PM,C,30.192
5/8/11 6:46:01 PM,C,30.692
5/8/11 7:01:01 PM,C,28.694
5/8/11 7:16:01 PM,C,29.193
5/8/11 7:31:01 PM,C,28.694
5/8/11 7:46:01 PM,C,24.695
5/8/11 8:01:01 PM,C,23.195
5/8/11 8:16:01 PM,C,21.193
5/8/11 8:31:01 PM,C,18.69
5/8/11 8:46:01 PM,C,16.686
5/8/11 9:01:01 PM,C,15.684
5/8/11 9:16:01 PM,C,15.182
5/8/11 9:31:01 PM,C,14.18
5/8/11 9:46:01 PM,C,13.177
5/8/11 10:01:01 PM,C,13.177
5/8/11 10:16:01 PM,C,12.675
5/8/11 10:31:01 PM,C,12.675
5/8/11 10:46:01 PM,C,12.675
5/8/11 11:01:01 PM,C,13.177
5/8/11 11:16:01 PM,C,13.177
5/8/11 11:31:01 PM,C,13.177
5/8/11 11:46:01 PM,C,12.675
5/9/11 12:01:01 AM,C,13.177
5/9/11 12:16:01 AM,C,14.18
5/9/11 12:31:01 AM,C,15.182
5/9/11 12:46:01 AM,C,13.678
5/9/11 1:01:01 AM,C,13.177
5/9/11 1:16:01 AM,C,12.174
5/9/11 1:31:01 AM,C,11.672
5/9/11 1:46:01 AM,C,14.18
5/9/11 2:01:01 AM,C,13.678
5/9/11 2:16:01 AM,C,14.18
5/9/11 2:31:01 AM,C,14.681
5/9/11 2:46:01 AM,C,14.18
5/9/11 3:01:01 AM,C,12.174
5/9/11 3:16:01 AM,C,12.675
5/9/11 3:31:01 AM,C,12.174
5/9/11 3:46:01 AM,C,11.17
5/9/11 4:01:01 AM,C,12.675
5/9/11 4:16:01 AM,C,13.177
5/9/11 4:31:01 AM,C,13.177
5/9/11 4:46:01 AM,C,13.177
5/9/11 5:01:01 AM,C,13.177
5/9/11 5:16:01 AM,C,12.675
5/9/11 5:31:01 AM,C,13.177
5/9/11 5:46:01 AM,C,12.675
5/9/11 6:01:01 AM,C,12.675
5/9/11 6:16:01 AM,C,12.174
5/9/11 6:31:01 AM,C,12.174
5/9/11 6:46:01 AM,C,12.174
5/9/11 7:01:01 AM,C,12.174
5/9/11 7:16:01 AM,C,12.174
5/9/11 7:31:01 AM,C,12.675
5/9/11 7:46:01 AM,C,14.681
5/9/11 8:01:01 AM,C,17.688
5/9/11 8:16:01 AM,C,19.691
5/9/11 8:31:01 AM,C,20.693
5/9/11 8:46:01 AM,C,22.194
5/9/11 9:01:01 AM,C,25.695
5/9/11 9:16:01 AM,C,24.695
5/9/11 9:31:01 AM,C,23.195
5/9/11 9:46:01 AM,C,23.695
5/9/11 10:01:01 AM,C,25.695
5/9/11 10:16:01 AM,C,24.195
5/9/11 10:31:01 AM,C,25.195
5/9/11 10:46:01 AM,C,25.695
5/9/11 11:01:01 AM,C,26.195
5/9/11 11:16:01 AM,C,25.695
5/9/11 11:31:01 AM,C,25.195
5/9/11 11:46:01 AM,C,25.695
5/9/11 12:01:01 PM,C,25.695
5/9/11 12:16:01 PM,C,25.695
5/9/11 12:31:01 PM,C,25.695
5/9/11 12:46:01 PM,C,26.195
5/9/11 1:01:01 PM,C,28.194
5/9/11 1:16:01 PM,C,28.694
5/9/11 1:31:01 PM,C,28.194
5/9/11 1:46:01 PM,C,29.193
5/9/11 2:01:01 PM,C,27.695
5/9/11 2:16:01 PM,C,29.193
5/9/11 2:31:01 PM,C,30.192
5/9/11 2:46:01 PM,C,29.693
5/9/11 3:01:01 PM,C,28.694
5/9/11 3:16:01 PM,C,28.694
5/9/11 3:31:01 PM,C,29.693
5/9/11 3:46:01 PM,C,27.695
5/9/11 4:01:01 PM,C,29.193
5/9/11 4:16:01 PM,C,28.694
5/9/11 4:31:01 PM,C,28.194
5/9/11 4:46:01 PM,C,26.195
5/9/11 5:01:01 PM,C,26.195
5/9/11 5:16:01 PM,C,26.695
5/9/11 5:31:01 PM,C,25.695
5/9/11 5:46:01 PM,C,26.695
5/9/11 6:01:01 PM,C,25.195
5/9/11 6:16:01 PM,C,25.195
5/9/11 6:31:01 PM,C,27.695
5/9/11 6:46:01 PM,C,25.195
5/9/11 7:01:01 PM,C,26.195
5/9/11 7:16:01 PM,C,24.695
5/9/11 7:31:01 PM,C,24.195
5/9/11 7:46:01 PM,C,23.695
5/9/11 8:01:01 PM,C,23.195
5/9/11 8:16:01 PM,C,22.694
5/9/11 8:31:01 PM,C,22.694
5/9/11 8:46:01 PM,C,22.194
5/9/11 9:01:01 PM,C,21.193
5/9/11 9:16:01 PM,C,19.191
5/9/11 9:31:01 PM,C,16.686
5/9/11 9:46:01 PM,C,15.684
5/9/11 10:01:01 PM,C,14.681
5/9/11 10:16:01 PM,C,14.18
5/9/11 10:31:01 PM,C,13.678
5/9/11 10:46:01 PM,C,13.177
5/9/11 11:01:01 PM,C,13.177
5/9/11 11:16:01 PM,C,13.678
5/9/11 11:31:01 PM,C,13.678
5/9/11 11:46:01 PM,C,13.177
5/10/11 12:01:01 AM,C,13.177
5/10/11 12:16:01 AM,C,13.678
5/10/11 12:31:01 AM,C,13.678
5/10/11 12:46:01 AM,C,16.185
5/10/11 1:01:01 AM,C,20.693
5/10/11 1:16:01 AM,C,18.189
5/10/11 1:31:01 AM,C,17.187
5/10/11 1:46:01 AM,C,16.686
5/10/11 2:01:01 AM,C,17.187
5/10/11 2:16:01 AM,C,16.185
5/10/11 2:31:01 AM,C,16.185
5/10/11 2:46:01 AM,C,15.684
5/10/11 3:01:01 AM,C,16.185
5/10/11 3:16:01 AM,C,15.182
5/10/11 3:31:01 AM,C,15.182
5/10/11 3:46:01 AM,C,15.182
5/10/11 4:01:01 AM,C,15.182
5/10/11 4:16:01 AM,C,14.18
5/10/11 4:31:01 AM,C,15.182
5/10/11 4:46:01 AM,C,14.18
5/10/11 5:01:01 AM,C,13.678
5/10/11 5:16:01 AM,C,14.18
5/10/11 5:31:01 AM,C,14.681
5/10/11 5:46:01 AM,C,13.678
5/10/11 6:01:01 AM,C,15.182
5/10/11 6:16:01 AM,C,15.684
5/10/11 6:31:01 AM,C,15.182
5/10/11 6:46:01 AM,C,16.686
5/10/11 7:01:01 AM,C,17.688
5/10/11 7:16:01 AM,C,17.187
5/10/11 7:31:01 AM,C,17.688
5/10/11 7:46:01 AM,C,18.189
5/10/11 8:01:01 AM,C,18.69
5/10/11 8:16:01 AM,C,18.189
5/10/11 8:31:01 AM,C,18.189
5/10/11 8:46:01 AM,C,20.693
5/10/11 9:01:01 AM,C,25.195
5/10/11 9:16:01 AM,C,24.195
5/10/11 9:31:01 AM,C,23.195
5/10/11 9:46:01 AM,C,22.694
5/10/11 10:01:01 AM,C,23.195
5/10/11 10:16:01 AM,C,23.195
5/10/11 10:31:01 AM,C,23.695
5/10/11 10:46:01 AM,C,23.695
5/10/11 11:01:01 AM,C,24.195
5/10/11 11:16:01 AM,C,24.695
5/10/11 11:31:01 AM,C,24.195
5/10/11 11:46:01 AM,C,24.695
5/10/11 12:01:01 PM,C,25.195
5/10/11 12:16:01 PM,C,25.695
5/10/11 12:31:01 PM,C,25.695
5/10/11 12:46:01 PM,C,26.195
5/10/11 1:01:01 PM,C,27.695
5/10/11 1:16:01 PM,C,28.194
5/10/11 1:31:01 PM,C,28.694
5/10/11 1:46:01 PM,C,27.695
5/10/11 2:01:01 PM,C,26.695
5/10/11 2:16:01 PM,C,26.695
5/10/11 2:31:01 PM,C,28.194
5/10/11 2:46:01 PM,C,27.695
5/10/11 3:01:01 PM,C,28.694
5/10/11 3:16:01 PM,C,28.194
5/10/11 3:31:01 PM,C,26.695
5/10/11 3:46:01 PM,C,27.195
5/10/11 4:01:01 PM,C,27.695
5/10/11 4:16:01 PM,C,26.195
5/10/11 4:31:01 PM,C,27.695
5/10/11 4:46:01 PM,C,27.195
5/10/11 5:01:01 PM,C,27.195
5/10/11 5:16:01 PM,C,27.195
5/10/11 5:31:01 PM,C,26.695
5/10/11 5:46:01 PM,C,26.195
5/10/11 6:01:01 PM,C,26.195
5/10/11 6:16:01 PM,C,27.695
5/10/11 6:31:01 PM,C,28.194
5/10/11 6:46:01 PM,C,27.695
5/10/11 7:01:01 PM,C,25.195
5/10/11 7:16:01 PM,C,24.195
5/10/11 7:31:01 PM,C,23.695
5/10/11 7:46:01 PM,C,23.195
5/10/11 8:01:01 PM,C,23.195
5/10/11 8:16:01 PM,C,22.694
5/10/11 8:31:01 PM,C,21.694
5/10/11 8:46:01 PM,C,21.193
5/10/11 9:01:01 PM,C,22.694
5/10/11 9:16:01 PM,C,22.194
5/10/11 9:31:01 PM,C,22.194
5/10/11 9:46:01 PM,C,22.194
5/10/11 10:01:01 PM,C,22.194
5/10/11 10:16:01 PM,C,22.694
5/10/11 10:31:01 PM,C,21.694
5/10/11 10:46:01 PM,C,20.693
5/10/11 11:01:01 PM,C,21.694
5/10/11 11:16:01 PM,C,22.194
5/10/11 11:31:01 PM,C,22.194
5/10/11 11:46:01 PM,C,21.193
5/11/11 12:01:01 AM,C,21.193
5/11/11 12:16:01 AM,C,20.192
5/11/11 12:31:01 AM,C,19.691
5/11/11 12:46:01 AM,C,18.69
5/11/11 1:01:01 AM,C,18.189
5/11/11 1:16:01 AM,C,17.187
5/11/11 1:31:01 AM,C,16.686
5/11/11 1:46:01 AM,C,16.686
5/11/11 2:01:01 AM,C,16.185
5/11/11 2:16:01 AM,C,16.185
5/11/11 2:31:01 AM,C,15.684
5/11/11 2:46:01 AM,C,15.684
5/11/11 3:01:01 AM,C,14.681
5/11/11 3:16:01 AM,C,14.18
5/11/11 3:31:01 AM,C,13.678
5/11/11 3:46:01 AM,C,13.177
5/11/11 4:01:01 AM,C,12.675
5/11/11 4:16:01 AM,C,11.672
5/11/11 4:31:01 AM,C,11.17
5/11/11 4:46:01 AM,C,10.668
5/11/11 5:01:01 AM,C,9.162
5/11/11 5:16:01 AM,C,8.66
5/11/11 5:31:01 AM,C,7.656
5/11/11 5:46:01 AM,C,8.158
5/11/11 6:01:01 AM,C,8.158
5/11/11 6:16:01 AM,C,7.154
5/11/11 6:31:01 AM,C,6.149
5/11/11 6:46:01 AM,C,6.149
5/11/11 7:01:01 AM,C,6.149
5/11/11 7:16:01 AM,C,6.149
5/11/11 7:31:01 AM,C,6.651
5/11/11 7:46:01 AM,C,9.162
5/11/11 8:01:01 AM,C,11.17
5/11/11 8:16:01 AM,C,12.174
5/11/11 8:31:01 AM,C,13.177
5/11/11 8:46:01 AM,C,15.684
5/11/11 9:01:01 AM,C,17.688
5/11/11 9:16:01 AM,C,18.189
5/11/11 9:31:01 AM,C,17.688
5/11/11 9:46:01 AM,C,15.684
5/11/11 10:01:01 AM,C,16.686
5/11/11 10:16:01 AM,C,16.185
5/11/11 10:31:01 AM,C,17.187
5/11/11 10:46:01 AM,C,17.688
5/11/11 11:01:01 AM,C,18.189
5/11/11 11:16:01 AM,C,18.69
5/11/11 11:31:01 AM,C,18.69
5/11/11 11:46:01 AM,C,19.191
5/11/11 12:01:01 PM,C,19.191
5/11/11 12:16:01 PM,C,21.193
5/11/11 12:31:01 PM,C,20.192
5/11/11 12:46:01 PM,C,21.694
5/11/11 1:01:01 PM,C,20.192
5/11/11 1:16:01 PM,C,22.194
5/11/11 1:31:01 PM,C,21.694
5/11/11 1:46:01 PM,C,21.694
5/11/11 2:01:01 PM,C,22.194
5/11/11 2:16:01 PM,C,21.193
5/11/11 2:31:01 PM,C,21.694
5/11/11 2:46:01 PM,C,22.194
5/11/11 3:01:01 PM,C,22.194
5/11/11 3:16:01 PM,C,21.694
5/11/11 3:31:01 PM,C,22.694
5/11/11 3:46:01 PM,C,22.194
5/11/11 4:01:01 PM,C,21.193
5/11/11 4:16:01 PM,C,22.194
5/11/11 4:31:01 PM,C,22.194
5/11/11 4:46:01 PM,C,22.194
5/11/11 5:01:01 PM,C,22.194
5/11/11 5:16:01 PM,C,22.194
5/11/11 5:31:01 PM,C,21.694
5/11/11 5:46:01 PM,C,23.195
5/11/11 6:01:01 PM,C,22.694
5/11/11 6:16:01 PM,C,23.195
5/11/11 6:31:01 PM,C,23.695
5/11/11 6:46:01 PM,C,22.694
5/11/11 7:01:01 PM,C,22.694
5/11/11 7:16:01 PM,C,22.194
5/11/11 7:31:01 PM,C,21.694
5/11/11 7:46:01 PM,C,18.69
5/11/11 8:01:01 PM,C,17.688
5/11/11 8:16:01 PM,C,17.187
5/11/11 8:31:01 PM,C,16.686
5/11/11 8:46:01 PM,C,15.182
5/11/11 9:01:01 PM,C,12.675
5/11/11 9:16:01 PM,C,11.672
5/11/11 9:31:01 PM,C,11.672
5/11/11 9:46:01 PM,C,12.174
5/11/11 10:01:01 PM,C,13.678
5/11/11 10:16:01 PM,C,13.177
5/11/11 10:31:01 PM,C,10.668
5/11/11 10:46:01 PM,C,9.162
5/11/11 11:01:01 PM,C,8.66
5/11/11 11:16:01 PM,C,7.656
5/11/11 11:31:01 PM,C,7.656
5/11/11 11:46:01 PM,C,9.162
5/12/11 12:01:01 AM,C,10.668
5/12/11 12:16:01 AM,C,10.668
5/12/11 12:31:01 AM,C,12.174
5/12/11 12:46:01 AM,C,12.675
5/12/11 1:01:01 AM,C,12.675
5/12/11 1:16:01 AM,C,11.672
5/12/11 1:31:01 AM,C,11.672
5/12/11 1:46:01 AM,C,10.668
5/12/11 2:01:01 AM,C,10.166
5/12/11 2:16:01 AM,C,11.17
5/12/11 2:31:01 AM,C,10.166
5/12/11 2:46:01 AM,C,10.668
5/12/11 3:01:01 AM,C,11.672
5/12/11 3:16:01 AM,C,12.174
5/12/11 3:31:01 AM,C,12.174
5/12/11 3:46:01 AM,C,10.668
5/12/11 4:01:01 AM,C,9.664
5/12/11 4:16:01 AM,C,9.664
5/12/11 4:31:01 AM,C,10.166
5/12/11 4:46:01 AM,C,10.166
5/12/11 5:01:01 AM,C,9.162
5/12/11 5:16:01 AM,C,8.158
5/12/11 5:31:01 AM,C,8.66
5/12/11 5:46:01 AM,C,8.66
5/12/11 6:01:01 AM,C,8.158
5/12/11 6:16:01 AM,C,7.656
5/12/11 6:31:01 AM,C,8.158
5/12/11 6:46:01 AM,C,8.66
5/12/11 7:01:01 AM,C,9.162
5/12/11 7:16:01 AM,C,9.664
5/12/11 7:31:01 AM,C,10.668
5/12/11 7:46:01 AM,C,13.177
5/12/11 8:01:01 AM,C,15.684
5/12/11 8:16:01 AM,C,16.185
5/12/11 8:31:01 AM,C,17.187
5/12/11 8:46:01 AM,C,21.193
5/12/11 9:01:01 AM,C,21.694
5/12/11 9:16:01 AM,C,20.693
5/12/11 9:31:01 AM,C,20.693
5/12/11 9:46:01 AM,C,18.189
5/12/11 10:01:01 AM,C,19.691
5/12/11 10:16:01 AM,C,19.691
5/12/11 10:31:01 AM,C,19.691
5/12/11 10:46:01 AM,C,19.691
5/12/11 11:01:01 AM,C,19.691
5/12/11 11:16:01 AM,C,20.693
5/12/11 11:31:01 AM,C,20.693
5/12/11 11:46:01 AM,C,21.193
5/12/11 12:01:01 PM,C,21.694
5/12/11 12:16:01 PM,C,21.193
5/12/11 12:31:01 PM,C,22.194
5/12/11 12:46:01 PM,C,22.194
5/12/11 1:01:01 PM,C,22.694
5/12/11 1:16:01 PM,C,23.695
5/12/11 1:31:01 PM,C,24.695
5/12/11 1:46:01 PM,C,24.695
5/12/11 2:01:01 PM,C,24.695
5/12/11 2:16:01 PM,C,25.195
5/12/11 2:31:01 PM,C,24.695
5/12/11 2:46:01 PM,C,22.694
5/12/11 3:01:01 PM,C,24.195
5/12/11 3:16:01 PM,C,23.195
5/12/11 3:31:01 PM,C,25.195
5/12/11 3:46:01 PM,C,23.695
5/12/11 4:01:01 PM,C,23.695
5/12/11 4:16:01 PM,C,25.195
5/12/11 4:31:01 PM,C,23.195
5/12/11 4:46:01 PM,C,24.695
5/12/11 5:01:01 PM,C,23.695
5/12/11 5:16:01 PM,C,25.195
5/12/11 5:31:01 PM,C,24.695
5/12/11 5:46:01 PM,C,24.195
5/12/11 6:01:01 PM,C,24.195
5/12/11 6:16:01 PM,C,24.695
5/12/11 6:31:01 PM,C,25.195
5/12/11 6:46:01 PM,C,23.695
5/12/11 7:01:01 PM,C,24.195
5/12/11 7:16:01 PM,C,24.195
5/12/11 7:31:01 PM,C,22.694
5/12/11 7:46:01 PM,C,20.192
5/12/11 8:01:01 PM,C,19.191
5/12/11 8:16:01 PM,C,19.191
5/12/11 8:31:01 PM,C,18.69
5/12/11 8:46:01 PM,C,18.69
5/12/11 9:01:01 PM,C,18.189
5/12/11 9:16:01 PM,C,17.688
5/12/11 9:31:01 PM,C,17.187
5/12/11 9:46:01 PM,C,17.187
5/12/11 10:01:01 PM,C,17.187
5/12/11 10:16:01 PM,C,17.187
5/12/11 10:31:01 PM,C,16.686
5/12/11 10:46:01 PM,C,15.182
5/12/11 11:01:01 PM,C,13.678
5/12/11 11:16:01 PM,C,13.177
5/12/11 11:31:01 PM,C,13.678
5/12/11 11:46:01 PM,C,11.672
5/13/11 12:01:01 AM,C,10.668
5/13/11 12:16:01 AM,C,10.668
5/13/11 12:31:01 AM,C,11.672
5/13/11 12:46:01 AM,C,11.17
5/13/11 1:01:01 AM,C,9.664
5/13/11 1:16:01 AM,C,8.158
5/13/11 1:31:01 AM,C,8.158
5/13/11 1:46:01 AM,C,8.158
5/13/11 2:01:01 AM,C,8.158
5/13/11 2:16:01 AM,C,7.656
5/13/11 2:31:01 AM,C,7.656
5/13/11 2:46:01 AM,C,7.656
5/13/11 3:01:01 AM,C,7.656
5/13/11 3:16:01 AM,C,7.656
5/13/11 3:31:01 AM,C,7.154
5/13/11 3:46:01 AM,C,8.158
5/13/11 4:01:01 AM,C,7.154
5/13/11 4:16:01 AM,C,7.656
5/13/11 4:31:01 AM,C,8.158
5/13/11 4:46:01 AM,C,8.158
5/13/11 5:01:01 AM,C,7.154
5/13/11 5:16:01 AM,C,7.154
5/13/11 5:31:01 AM,C,7.154
5/13/11 5:46:01 AM,C,7.154
5/13/11 6:01:01 AM,C,6.149
5/13/11 6:16:01 AM,C,6.651
5/13/11 6:31:01 AM,C,9.664
5/13/11 6:46:01 AM,C,8.158
5/13/11 7:01:01 AM,C,6.149
5/13/11 7:16:01 AM,C,5.144
5/13/11 7:31:01 AM,C,5.647
5/13/11 7:46:01 AM,C,8.158
5/13/11 8:01:01 AM,C,11.17
5/13/11 8:16:01 AM,C,13.177
5/13/11 8:31:01 AM,C,13.678
5/13/11 8:46:01 AM,C,18.189
5/13/11 9:01:01 AM,C,19.191
5/13/11 9:16:01 AM,C,18.189
5/13/11 9:31:01 AM,C,18.69
5/13/11 9:46:01 AM,C,17.688
5/13/11 10:01:01 AM,C,18.69
5/13/11 10:16:01 AM,C,19.691
5/13/11 10:31:01 AM,C,20.693
5/13/11 10:46:01 AM,C,21.694
5/13/11 11:01:01 AM,C,22.194
5/13/11 11:16:01 AM,C,22.694
5/13/11 11:31:01 AM,C,23.195
5/13/11 11:46:01 AM,C,24.195
5/13/11 12:01:01 PM,C,25.195
5/13/11 12:16:01 PM,C,25.195
5/13/11 12:31:01 PM,C,25.695
5/13/11 12:46:01 PM,C,26.195
5/13/11 1:01:01 PM,C,26.695
5/13/11 1:16:01 PM,C,27.195
5/13/11 1:31:01 PM,C,27.695
5/13/11 1:46:01 PM,C,26.695
5/13/11 2:01:01 PM,C,26.695
5/13/11 2:16:01 PM,C,26.195
5/13/11 2:31:01 PM,C,26.195
5/13/11 2:46:01 PM,C,26.695
5/13/11 3:01:01 PM,C,27.195
5/13/11 3:16:01 PM,C,26.695
5/13/11 3:31:01 PM,C,26.195
5/13/11 3:46:01 PM,C,26.695
5/13/11 4:01:01 PM,C,25.695
5/13/11 4:16:01 PM,C,26.695
5/13/11 4:31:01 PM,C,26.195
5/13/11 4:46:01 PM,C,26.195
5/13/11 5:01:01 PM,C,27.195
5/13/11 5:16:01 PM,C,27.195
5/13/11 5:31:01 PM,C,25.695
5/13/11 5:46:01 PM,C,26.195
5/13/11 6:01:01 PM,C,25.195
5/13/11 6:16:01 PM,C,25.695
5/13/11 6:31:01 PM,C,25.195
5/13/11 6:46:01 PM,C,25.695
5/13/11 7:01:01 PM,C,24.195
5/13/11 7:16:01 PM,C,25.695
5/13/11 7:31:01 PM,C,24.195
5/13/11 7:46:01 PM,C,20.192
5/13/11 8:01:01 PM,C,19.191
5/13/11 8:16:01 PM,C,18.69
5/13/11 8:31:01 PM,C,18.189
5/13/11 8:46:01 PM,C,17.688
5/13/11 9:01:01 PM,C,17.187
5/13/11 9:16:01 PM,C,16.686
5/13/11 9:31:01 PM,C,16.185
5/13/11 9:46:01 PM,C,16.185
5/13/11 10:01:01 PM,C,15.684
5/13/11 10:16:01 PM,C,15.684
5/13/11 10:31:01 PM,C,15.182
5/13/11 10:46:01 PM,C,14.681
5/13/11 11:01:01 PM,C,14.681
5/13/11 11:16:01 PM,C,14.681
5/13/11 11:31:01 PM,C,15.182
5/13/11 11:46:01 PM,C,14.681
5/14/11 12:01:01 AM,C,14.18
5/14/11 12:16:01 AM,C,14.18
5/14/11 12:31:01 AM,C,14.681
5/14/11 12:46:01 AM,C,14.681
5/14/11 1:01:01 AM,C,13.678
5/14/11 1:16:01 AM,C,13.678
5/14/11 1:31:01 AM,C,14.18
5/14/11 1:46:01 AM,C,13.678
5/14/11 2:01:01 AM,C,13.678
5/14/11 2:16:01 AM,C,14.18
5/14/11 2:31:01 AM,C,14.18
5/14/11 2:46:01 AM,C,14.18
5/14/11 3:01:01 AM,C,13.678
5/14/11 3:16:01 AM,C,13.177
5/14/11 3:31:01 AM,C,13.177
5/14/11 3:46:01 AM,C,13.177
5/14/11 4:01:01 AM,C,13.177
5/14/11 4:16:01 AM,C,12.675
5/14/11 4:31:01 AM,C,13.177
5/14/11 4:46:01 AM,C,12.675
5/14/11 5:01:01 AM,C,12.675
5/14/11 5:16:01 AM,C,12.675
5/14/11 5:31:01 AM,C,13.177
5/14/11 5:46:01 AM,C,13.678
5/14/11 6:01:01 AM,C,13.177
5/14/11 6:16:01 AM,C,13.177
5/14/11 6:31:01 AM,C,13.177
5/14/11 6:46:01 AM,C,13.177
5/14/11 7:01:01 AM,C,12.675
5/14/11 7:16:01 AM,C,13.177
5/14/11 7:31:01 AM,C,13.177
5/14/11 7:46:01 AM,C,13.678
5/14/11 8:01:01 AM,C,14.18
5/14/11 8:16:01 AM,C,14.681
5/14/11 8:31:01 AM,C,14.681
5/14/11 8:46:01 AM,C,18.189
5/14/11 9:01:01 AM,C,19.691
5/14/11 9:16:01 AM,C,19.191
5/14/11 9:31:01 AM,C,18.69
5/14/11 9:46:01 AM,C,17.688
5/14/11 10:01:01 AM,C,18.69
5/14/11 10:16:01 AM,C,19.691
5/14/11 10:31:01 AM,C,19.691
5/14/11 10:46:01 AM,C,19.691
5/14/11 11:01:01 AM,C,20.192
