1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1B00000014B73F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jun 18 18:09:01 CDT 2011
Mission Sample Count:  1841
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jun 18 18:09:01 CDT 2011
Total Mission Samples:  1841
Total Device Samples:  8409
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/18/11 6:09:01 PM,C,36.63
6/18/11 7:09:01 PM,C,33.138
6/18/11 8:09:01 PM,C,27.144
6/18/11 9:09:01 PM,C,25.645
6/18/11 10:09:01 PM,C,24.644
6/18/11 11:09:01 PM,C,25.145
6/19/11 12:09:01 AM,C,24.144
6/19/11 1:09:01 AM,C,25.145
6/19/11 2:09:01 AM,C,24.644
6/19/11 3:09:01 AM,C,24.144
6/19/11 4:09:01 AM,C,24.144
6/19/11 5:09:01 AM,C,23.644
6/19/11 6:09:01 AM,C,23.144
6/19/11 7:09:01 AM,C,22.644
6/19/11 8:09:01 AM,C,22.143
6/19/11 9:09:01 AM,C,22.143
6/19/11 10:09:01 AM,C,23.644
6/19/11 11:09:01 AM,C,25.645
6/19/11 12:09:01 PM,C,26.144
6/19/11 1:09:01 PM,C,29.642
6/19/11 2:09:01 PM,C,27.644
6/19/11 3:09:01 PM,C,31.64
6/19/11 4:09:01 PM,C,32.638
6/19/11 5:09:01 PM,C,31.64
6/19/11 6:09:01 PM,C,32.139
6/19/11 7:09:01 PM,C,31.64
6/19/11 8:09:01 PM,C,28.144
6/19/11 9:09:01 PM,C,26.644
6/19/11 10:09:01 PM,C,25.645
6/19/11 11:09:01 PM,C,25.145
6/20/11 12:09:01 AM,C,24.644
6/20/11 1:09:01 AM,C,23.644
6/20/11 2:09:01 AM,C,22.644
6/20/11 3:09:01 AM,C,21.643
6/20/11 4:09:01 AM,C,20.642
6/20/11 5:09:01 AM,C,20.142
6/20/11 6:09:01 AM,C,19.641
6/20/11 7:09:01 AM,C,19.14
6/20/11 8:09:01 AM,C,19.14
6/20/11 9:09:01 AM,C,19.14
6/20/11 10:09:01 AM,C,19.641
6/20/11 11:09:01 AM,C,20.142
6/20/11 12:09:01 PM,C,21.143
6/20/11 1:09:01 PM,C,21.643
6/20/11 2:09:01 PM,C,22.644
6/20/11 3:09:01 PM,C,24.144
6/20/11 4:09:01 PM,C,26.644
6/20/11 5:09:01 PM,C,28.144
6/20/11 6:09:01 PM,C,28.144
6/20/11 7:09:01 PM,C,26.144
6/20/11 8:09:01 PM,C,25.645
6/20/11 9:09:01 PM,C,23.144
6/20/11 10:09:01 PM,C,22.644
6/20/11 11:09:01 PM,C,22.143
6/21/11 12:09:01 AM,C,22.143
6/21/11 1:09:01 AM,C,22.143
6/21/11 2:09:01 AM,C,21.643
6/21/11 3:09:01 AM,C,21.643
6/21/11 4:09:01 AM,C,21.643
6/21/11 5:09:01 AM,C,18.139
6/21/11 6:09:01 AM,C,18.64
6/21/11 7:09:01 AM,C,16.636
6/21/11 8:09:01 AM,C,16.135
6/21/11 9:09:01 AM,C,16.636
6/21/11 10:09:01 AM,C,17.137
6/21/11 11:09:01 AM,C,21.143
6/21/11 12:09:01 PM,C,22.644
6/21/11 1:09:01 PM,C,24.644
6/21/11 2:09:01 PM,C,25.145
6/21/11 3:09:01 PM,C,27.144
6/21/11 4:09:01 PM,C,30.142
6/21/11 5:09:01 PM,C,32.638
6/21/11 6:09:01 PM,C,33.637
6/21/11 7:09:01 PM,C,28.643
6/21/11 8:09:01 PM,C,27.144
6/21/11 9:09:01 PM,C,24.144
6/21/11 10:09:01 PM,C,23.144
6/21/11 11:09:01 PM,C,22.143
6/22/11 12:09:01 AM,C,21.143
6/22/11 1:09:01 AM,C,20.642
6/22/11 2:09:01 AM,C,20.142
6/22/11 3:09:01 AM,C,18.139
6/22/11 4:09:01 AM,C,17.137
6/22/11 5:09:01 AM,C,16.135
