1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5800000014939441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat May 07 12:02:01 CDT 2011
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat May 07 12:02:01 CDT 2011
Total Mission Samples:  4096
Total Device Samples:  15900
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/7/11 12:02:01 PM,C,29.205
5/7/11 12:32:01 PM,C,28.206
5/7/11 1:02:01 PM,C,27.207
5/7/11 1:32:01 PM,C,28.206
5/7/11 2:02:01 PM,C,28.206
5/7/11 2:32:01 PM,C,28.206
5/7/11 3:02:01 PM,C,28.206
5/7/11 3:32:01 PM,C,28.706
5/7/11 4:02:01 PM,C,27.706
5/7/11 4:32:01 PM,C,27.706
5/7/11 5:02:01 PM,C,28.706
5/7/11 5:32:01 PM,C,26.707
5/7/11 6:02:01 PM,C,27.207
5/7/11 6:32:01 PM,C,23.707
5/7/11 7:02:01 PM,C,22.706
5/7/11 7:32:01 PM,C,22.706
5/7/11 8:02:01 PM,C,21.706
5/7/11 8:32:01 PM,C,20.705
5/7/11 9:02:01 PM,C,19.704
5/7/11 9:32:01 PM,C,19.203
5/7/11 10:02:01 PM,C,19.704
5/7/11 10:32:01 PM,C,19.203
5/7/11 11:02:01 PM,C,20.705
5/7/11 11:32:01 PM,C,20.204
5/8/11 12:02:01 AM,C,20.705
5/8/11 12:32:01 AM,C,21.205
5/8/11 1:02:01 AM,C,20.705
5/8/11 1:32:01 AM,C,19.203
5/8/11 2:02:01 AM,C,19.203
5/8/11 2:32:01 AM,C,19.203
5/8/11 3:02:01 AM,C,19.704
5/8/11 3:32:01 AM,C,18.703
5/8/11 4:02:01 AM,C,18.202
5/8/11 4:32:01 AM,C,17.701
5/8/11 5:02:01 AM,C,16.7
5/8/11 5:32:01 AM,C,16.7
5/8/11 6:02:01 AM,C,15.698
5/8/11 6:32:01 AM,C,15.698
5/8/11 7:02:01 AM,C,15.197
5/8/11 7:32:01 AM,C,16.7
5/8/11 8:02:01 AM,C,20.204
5/8/11 8:32:01 AM,C,24.707
5/8/11 9:02:01 AM,C,29.205
5/8/11 9:32:01 AM,C,31.203
5/8/11 10:02:01 AM,C,26.707
5/8/11 10:32:01 AM,C,27.207
5/8/11 11:02:01 AM,C,28.706
5/8/11 11:32:01 AM,C,28.706
5/8/11 12:02:01 PM,C,28.706
5/8/11 12:32:01 PM,C,28.706
5/8/11 1:02:01 PM,C,27.706
5/8/11 1:32:01 PM,C,28.206
5/8/11 2:02:01 PM,C,27.207
5/8/11 2:32:01 PM,C,28.706
5/8/11 3:02:01 PM,C,28.206
5/8/11 3:32:01 PM,C,27.706
5/8/11 4:02:01 PM,C,28.706
5/8/11 4:32:01 PM,C,27.207
5/8/11 5:02:01 PM,C,28.706
5/8/11 5:32:01 PM,C,27.207
5/8/11 6:02:01 PM,C,28.206
5/8/11 6:32:01 PM,C,24.707
5/8/11 7:02:01 PM,C,23.707
5/8/11 7:32:01 PM,C,22.706
5/8/11 8:02:01 PM,C,21.706
5/8/11 8:32:01 PM,C,20.705
5/8/11 9:02:01 PM,C,19.704
5/8/11 9:32:01 PM,C,19.704
5/8/11 10:02:01 PM,C,20.705
